pot,region,pop,trt,geno,lab,alt_lab1,alt_lab2,vwc_adj,group,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_final,flwr_mass_1.2,flwr_mass_4,flwr_mass_lifetime,did_flwr,flwr_color,flwr_count_1.2,flwr_len_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,ht.91-130,ht.80-90,ht.70-79,ht.49-69,ht.38-48,ht.30-37,ht.20-29,ht.10-19,ht.1-9,avg_predawn_mpa_expt,avg_midday_mpa_expt,avg_predawn_mpa_drydown,avg_midday_mpa_drydown
1,Boulder,A,ND,1,A01,A1ND,NDA1,28.8375,2,0.71,0.95,1.52,0,0.1566,0.0461,0.2027,1,green,12,35.5,2.95833,11.93571,54.61,51.5667,51.1,50.6,52.855,NA,41.5667,23.5,14.2667,6.2,-2.6,-1.8,NA,NA
2,Boulder,A,ND,2,A02,A2ND,NDA2,30.29,2,1.04,0.96,2.04,0,0,0.1053,0.1053,1,NA,0,0,NA,NA,76.6,76.1333,63.5,51.4,45.085,NA,22.6667,12.9,9.1,5.6,-2.5,-2.4,NA,NA
3,Boulder,A,ND,3,A03,A3ND,NDA3,32.95,2,no pot,no pot,no pot,no pot,NA,NA,NA,0,NA,0,0,NA,NA,8.5,NA,NA,NA,NA,NA,8.5,8.5,8.5,4.6667,NA,NA,NA,NA
4,Boulder,A,ND,4,A04,A4ND,NDA4,29.72,2,1.03,0.64,2.24,0.0132,0.0473,0.1079,0.1684,1,green,6,13.7,2.28333,6.1125,61.3,52.9,37.4,37.5,36.8475,NA,30.9333,15.75,8.5667,4.5667,-5.45,-5.85,NA,NA
5,Boulder,A,ND,5,A05,A5ND,NDA5,29.13,2,1.07,0.7,2.73,0,0.0052,0.0935,0.0987,1,green,4,5.8,1.45,1.4,64,62.3833,57.1,56.6,46.3875,NA,19.0333,7.55,6.8333,5.4,NA,NA,NA,NA
6,Boulder,A,ND,6,A06,A6ND,NDA6,28.35,2,1.7,1.47,3.35,0,0.3391,0,0.3391,1,green,18,57.6,3.2,18.885,71.8,71.2167,69.6,70.1,69.29,NA,63.6667,39.3,27.6,9.8333,NA,NA,-0.2,-1.25
7,Boulder,A,ND,7,A07,A7ND,NDA7,30.01666667,2,0.9,0.9,2.36,0.0167,0.0633,0.1404,0.2204,1,green,4,11.2,2.8,14.84,69.4,62.15,69.4,60.2,53.34,NA,30.2333,17.5,9.5,6,-2.5,-2.55,NA,NA
8,Boulder,A,ND,8,A08,A8ND,NDA8,30.4,2,no pot,no pot,no pot,no pot,NA,NA,NA,0,NA,0,0,NA,NA,9.3,NA,NA,NA,NA,NA,9.3,9.3,9.2667,7.5667,NA,NA,NA,NA
9,Boulder,A,ND,9,A09,A9ND,NDA9,29.46,2,0.22,0.59,0.75,0,0,0.0634,0.0634,1,NA,0,0,NA,NA,70.8,63.7667,31.8,29.9,20.72,NA,7.1,7.1,6.3667,5.6333,NA,NA,NA,NA
10,Boulder,A,ND,10,A10,A10ND,NDA10,30.42,2,0.62,0.7,1.31,0,0.0182,0.1667,0.1849,1,green,2,5.1,2.55,4.55,63,52.45,38.5,31.1,29.32,NA,27.6333,16.5,11.4,5.2333,-1.3,-2.05,NA,NA
11,Boulder,A,ND,11,A11,A11ND,NDA11,27.1,2,no pot,no pot,no pot,no pot,NA,NA,NA,0,NA,0,0,NA,NA,12.6,NA,NA,NA,NA,NA,12.6,12.6,12.6,10.9,NA,NA,NA,NA
12,Boulder,A,ND,12,A12,A12ND,NDA12,30.73,2,0.57,0.82,1.72,0.0299,0.0253,0.0675,0.1227,1,green,2,5.1,2.55,8.7,52.6,48.65,39,36.3,33.7075,NA,20.4667,14,7.7,5.9333,-0.6,-2.05,NA,NA
13,Boulder,A,ND,13,A13,A13ND,NDA13,29.85,2,0.58,1.02,1.64,0,0.0275,0.0569,0.0844,1,green,1,4.6,4.6,13.75,78.5,70.4833,57.5,49.2,49.365,NA,36.8,24.75,19.0333,9.2,-2.3,-2.4,NA,NA
14,Boulder,A,ND,14,A14,A14ND,NDA14,33,2,no pot,no pot,no pot,no pot,NA,NA,NA,0,NA,0,0,NA,NA,6.2,NA,NA,NA,NA,NA,6.2,6.2,6.2,5.8333,NA,NA,NA,NA
15,Boulder,A,ND,15,A15,A15ND,NDA15,31.1,2,1.09,1.29,2.36,0,0.0722,0,0.0722,1,green,8,21.9,2.7375,7.24,58.6,58.2833,54.4,58.1,58.21,NA,44.4667,23.8,15.8333,7.3,-1.8,-2.3,NA,NA
16,Boulder,A,ND,16,A16,A16ND,NDA16,31.23333333,2,1.21,1.65,2.32,0,0.0807,0.0381,0.1188,1,green,8,26.6,3.325,7.88,59.1,56.1333,45.4,47.1,47.045,NA,38.3667,25.85,18.9667,9.1,-2.4,-3.05,NA,NA
17,Boulder,A,ND,17,A17,A17ND,NDA17,31.28333333,2,0.35,0.95,1.16,0,0.0057,0.135,0.1407,1,green,1,3.5,3.5,2.85,63,59.3,41,38.1,37.7825,NA,13.2,7.45,6.9333,5.9667,NA,NA,NA,NA
