,region,pop,geno,trt,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_lifetime,flwr_count_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,avg_predawn_mpa_expt,avg_midday_mpa_expt,root_shoot,biomass_total
1,Boulder,A,1,ND - D,19.05178571,0.67,0.54,1.14,0.2027,12,NA,NA,11.01,NA,NA,-0.092,2.5527
2,Boulder,A,2,ND - D,19.27571429,0.91,0.24,1.38,0.1053,0,NA,NA,31.2,-2.2,-0.1,-0.308,2.6353
3,Boulder,A,3,ND - D,21.15,NA,NA,NA,NA,0,NA,NA,2.6,NA,NA,NA,NA
4,Boulder,A,4,ND - D,21.22555556,0.48,0.05,0.07,-0.0334,-1,-0.1881,-4.54464,12.5,-3.15,-1.4,0.221,0.5666
5,Boulder,A,5,ND - D,16.58,NA,NA,NA,NA,4,NA,NA,57.5,NA,NA,NA,NA
6,Boulder,A,6,ND - D,19.775,NA,NA,NA,0.2531,13,0.24,1.285,6.2,NA,NA,NA,NA
7,Boulder,A,7,ND - D,21.43333334,0.42,-0.14,-0.08,-0.0279,-2,-0.45,5.0275,9.5,4,2.8,0.14,0.1721
8,Boulder,A,8,ND - D,20.45,NA,NA,NA,NA,-2,NA,NA,-42.3,NA,NA,NA,NA
9,Boulder,A,9,ND - D,19.01,NA,NA,NA,NA,0,NA,NA,64.3,NA,NA,NA,NA
10,Boulder,A,10,ND - D,20.89857143,0.5,0.45,1.01,0.1124,2,NA,NA,16.1,0,0.2,-0.225,2.0724
11,Boulder,A,11,ND - D,16.5,NA,NA,NA,NA,0,NA,NA,6.2,NA,NA,NA,NA
12,Boulder,A,12,ND - D,21.40222222,0.23,0.24,0.43,-0.0251,0,-0.85,-2.23333,4.1,0.95,0.05,0.095,0.8749
13,Boulder,A,13,ND - D,21.615,NA,NA,NA,0.0471,-3,2.05,6.68333,28,NA,NA,NA,NA
14,Boulder,A,14,ND - D,22.5,NA,NA,NA,NA,0,NA,NA,-2.1,NA,NA,NA,NA
15,Boulder,A,15,ND - D,22.89,NA,NA,NA,-0.0086,0,0.3,-1.22,5.5,NA,NA,NA,NA
16,Boulder,A,16,ND - D,20.48333333,NA,NA,NA,NA,8,NA,NA,51.5,NA,NA,NA,NA
17,Boulder,A,17,ND - D,22.38333333,NA,NA,NA,NA,1,NA,NA,54.9,NA,NA,NA,NA
18,S. Dakota,BG,1,ND - D,15.85833333,NA,NA,NA,0.3578,7,-0.37,4.245,5.5,-1.03,-0.58,NA,NA
19,S. Dakota,BG,2,ND - D,15.775,NA,NA,NA,1.1598,6,0.64444,6.78864,22.4,NA,NA,NA,NA
20,S. Dakota,BG,3,ND - D,19.53571429,0.03,0.03,-1.33,-0.5358,1,0.33333,-1.87333,5.7,3.45,2.1,0.394,-1.8058
21,S. Dakota,BG,4,ND - D,18.79125,NA,NA,NA,0.0098,4,-0.76884,-3.57115,-11.2,NA,NA,NA,NA
22,S. Dakota,BG,5,ND - D,19.01190476,-0.59,-1.14,-1.62,0.2019,-2,0.26667,-1.86,12.5,2.6,2.31,-0.162,-3.1481
23,S. Dakota,BG,6,ND - D,15.5025,NA,NA,NA,0.2226,17,-0.06053,-4.0619,20,-0.23,-0.01,NA,NA
24,S. Dakota,BG,7,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-46.5,NA,NA,NA,NA
25,S. Dakota,BG,8,ND - D,16.5575,0.73,0.99,1.03,0.111,1,0.27333,-1.94643,11.6,1.7,2.25,0.243,2.861
26,S. Dakota,BG,9,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-55,NA,NA,NA,NA
27,S. Dakota,BG,10,ND - D,18.71111111,NA,NA,NA,0.1503,20,NA,NA,-6.1,0.78,0.42,NA,NA
28,S. Dakota,BG,11,ND - D,19.6875,NA,NA,NA,NA,0,NA,NA,63.7,NA,NA,NA,NA
29,S. Dakota,BG,12,ND - D,20.46,NA,NA,NA,-0.1471,-1,-0.56111,-6.23,-12.6,0.05,-0.05,NA,NA
30,S. Dakota,BG,13,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,43.3,NA,NA,NA,NA
31,S. Dakota,BG,14,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA
32,S. Dakota,BG,15,ND - D,18.43194444,-0.02,-0.84,0.18,-0.0157,-5,-0.11674,-2.51654,-1.6,1.66,1.32,-0.225,-0.6957
33,S. Dakota,BG,16,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
34,S. Dakota,BG,17,ND - D,14.785,NA,NA,NA,-0.0039,-1,0.08462,1.02524,0.9,NA,NA,NA,NA
35,Boulder,BT,1,ND - D,18.33111111,1.55,0.64,1.46,0.0502,8,0.375,2.17538,14.5,0.6,0.45,0.243,3.7002
36,Boulder,BT,2,ND - D,19.105,NA,NA,NA,0.2835,11,-0.36667,13.28618,9.66,NA,NA,NA,NA
37,Boulder,BT,3,ND - D,21.72916667,1.52,0.18,2.5,-0.0103,-2,0.1425,1.30333,3.615,NA,NA,0.011,4.1897
38,Boulder,BT,4,ND - D,18.43375,NA,NA,NA,0.1438,4,1.11667,15.09692,16.8,NA,NA,NA,NA
39,Boulder,BT,5,ND - D,17.54375,0.59,1.36,2.09,0.1573,13,0.6,-5.89215,22.5,-1,-0.25,0.226,4.1973
40,Boulder,BT,6,ND - D,21.67833333,-0.04,-0.14,-0.9,-0.0904,-9,1.45,1.95,7.8,-0.35,1.95,0.124,-1.1704
41,Boulder,BT,7,ND - D,20.5575,0.04,0.06,-0.95,0.1557,6,0.475,3,2.2,3.4,3.95,0.26,-0.6943
42,Boulder,BT,8,ND - D,20.89166667,0.85,0.54,1.37,0.108,-1,-0.02878,7.29423,9.6,NA,NA,0.1,2.868
43,Boulder,BT,9,ND - D,20.91904762,0.38,-0.7,0.08,-0.0087,-4,0.48,1.2375,4.3,NA,NA,-0.101,-0.2487
44,Boulder,BT,10,ND - D,18.15666667,-0.03,-0.39,-0.91,-0.0256,-3,NA,NA,-2.435,2,1.15,0.47,-1.3556
45,Boulder,BT,11,ND - D,13.9875,NA,NA,NA,NA,2,NA,NA,51.6,NA,NA,NA,NA
46,Boulder,BT,12,ND - D,17.75,NA,NA,NA,NA,0,NA,NA,2.9,NA,NA,NA,NA
