pot,region,pop,geno,lab,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_final,flwr_mass_1.2,flwr_mass_4,flwr_mass_lifetime,did_flwr,flwr_count_1.2,flwr_len_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,ht.91-130,ht.80-90,ht.70-79,ht.49-69,ht.38-48,ht.30-37,ht.20-29,ht.10-19,ht.1-9,avg_predawn_mpa_expt,avg_midday_mpa_expt,avg_predawn_mpa_drydown,avg_midday_mpa_drydown,roottoshoot,biomass_total
1,Boulder,A,1,A01,19.05178571,0.67,0.54,1.14,0,0.1566,0.0461,0.2027,1,12,35.5,NA,NA,11.01,19.7167,29.1,30,42.5625,NA,18.0334,12,2.7667,-1.3333,NA,NA,NA,NA,-0.220606881,0.83
2,Boulder,A,2,A02,19.27571429,0.91,0.24,1.38,0,0,0.1053,0.1053,1,0,0,NA,NA,31.2,42.2,43.1,31.3,27.415,NA,13.3667,4.1,1.0333,0.2667,-2.2,-0.1,NA,NA,-0.355608243,1.51
3,Boulder,A,3,A03,21.15,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,2.6,NA,NA,NA,NA,NA,3.7,3.7,3.7,-1.2333,NA,NA,NA,NA,NA,NA
4,Boulder,A,4,A04,21.22555556,0.48,0.05,0.07,0.0132,-0.0233,-0.0233,-0.0334,0,-1,-3.6,-0.1881,-4.54464,12.5,5.8833,-7.4,-7.1,-7.0425,NA,2.4333,-1.75,-2.5666,-0.1333,-3.15,-1.4,NA,NA,0.212758801,3.5118
5,Boulder,A,5,A05,16.58,NA,NA,NA,NA,NA,NA,NA,1,4,5.8,NA,NA,57.5,NA,NA,NA,NA,NA,12.5333,1.05,0.4333,-0.4,NA,NA,NA,NA,NA,NA
6,Boulder,A,6,A06,19.775,NA,NA,NA,NA,0.2531,0,0.2531,0,13,42.8,0.24,1.285,6.2,5.95,5.2,5,6.46,NA,31.1,23.85,16.3667,3.5,NA,NA,0,-0.7,NA,NA
7,Boulder,A,7,A07,21.43333334,0.42,-0.14,-0.08,-0.0065,-0.0095,-0.0119,-0.0279,0,-2,-8.3,-0.45,5.0275,9.5,3.05,11,1.8,-5.07,NA,-12.6,-13.15,-9.4333,-1.9,4,2.8,NA,NA,0.132153182,4.2083
8,Boulder,A,8,A08,20.45,NA,NA,NA,NA,NA,NA,NA,-1,-2,-4,NA,NA,-42.3,NA,NA,NA,NA,NA,-11.3667,-4,-1.3333,0.2,NA,NA,NA,NA,NA,NA
9,Boulder,A,9,A09,19.01,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,64.3,NA,NA,NA,NA,NA,0.6,0.6,0,-0.4334,NA,NA,NA,NA,NA,NA
10,Boulder,A,10,A10,20.89857143,0.5,0.45,1.01,0,0.0182,0.0942,0.1124,0,2,5.1,NA,NA,16.1,10.0833,6.1,10.8,16.84,NA,22.0333,11.15,6.3,0.4666,0,0.2,NA,NA,-0.110286383,0.7425
