pot,region,pop,trt,geno,lab,alt_lab1,alt_lab2,group,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_lifetime,flwr_count_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,avg_predawn_mpa_expt,avg_midday_mpa_expt,
1,Boulder,A,ND,1,A01,A1ND,NDA1,2,28.8375,0.71,0.95,1.52,0.2027,12,2.95833,11.93571,54.61,-2.6,-1.8,0
2,Boulder,A,ND,2,A02,A2ND,NDA2,2,30.29,1.04,0.96,2.04,0.1053,0,NA,NA,76.6,-2.5,-2.4,2
3,Boulder,A,ND,3,A03,A3ND,NDA3,2,32.95,no pot,no pot,no pot,NA,0,NA,NA,8.5,NA,NA,5
4,Boulder,A,ND,4,A04,A4ND,NDA4,2,29.72,1.03,0.64,2.24,0.1684,6,2.28333,6.1125,61.3,-5.45,-5.85,0
5,Boulder,A,ND,5,A05,A5ND,NDA5,2,29.13,1.07,0.7,2.73,0.0987,4,1.45,1.4,64,NA,NA,2
6,Boulder,A,ND,6,A06,A6ND,NDA6,2,28.35,1.7,1.47,3.35,0.3391,18,3.2,18.885,71.8,NA,NA,2
7,Boulder,A,ND,7,A07,A7ND,NDA7,2,30.01666667,0.9,0.9,2.36,0.2204,4,2.8,14.84,69.4,-2.5,-2.55,0
8,Boulder,A,ND,8,A08,A8ND,NDA8,2,30.4,no pot,no pot,no pot,NA,0,NA,NA,9.3,NA,NA,5
9,Boulder,A,ND,9,A09,A9ND,NDA9,2,29.46,0.22,0.59,0.75,0.0634,0,NA,NA,70.8,NA,NA,4
10,Boulder,A,ND,10,A10,A10ND,NDA10,2,30.42,0.62,0.7,1.31,0.1849,2,2.55,4.55,63,-1.3,-2.05,0
11,Boulder,A,ND,11,A11,A11ND,NDA11,2,27.1,no pot,no pot,no pot,NA,0,NA,NA,12.6,NA,NA,5
12,Boulder,A,ND,12,A12,A12ND,NDA12,2,30.73,0.57,0.82,1.72,0.1227,2,2.55,8.7,52.6,-0.6,-2.05,0
13,Boulder,A,ND,13,A13,A13ND,NDA13,2,29.85,0.58,1.02,1.64,0.0844,1,4.6,13.75,78.5,-2.3,-2.4,0
14,Boulder,A,ND,14,A14,A14ND,NDA14,2,33,no pot,no pot,no pot,NA,0,NA,NA,6.2,NA,NA,5
15,Boulder,A,ND,15,A15,A15ND,NDA15,2,31.1,1.09,1.29,2.36,0.0722,8,2.7375,7.24,58.6,-1.8,-2.3,0
16,Boulder,A,ND,16,A16,A16ND,NDA16,2,31.23333333,1.21,1.65,2.32,0.1188,8,3.325,7.88,59.1,-2.4,-3.05,0
17,Boulder,A,ND,17,A17,A17ND,NDA17,2,31.28333333,0.35,0.95,1.16,0.1407,1,3.5,2.85,63,NA,NA,2
