sample	pop	ind	trt	lab	date	pre	mid	time	region	note	remove
a4	A	4	d	y	925	-0.5	-1.1	expt	Boulder	na	YES
a4	A	4	nd	y	925	-0.3	-0.95	expt	Boulder	na	YES
a4	A	4	nd	y	925	-1.05	-0.7	expt	Boulder	na	YES
a4	A	4	d	y	925	-0.2	-0.6	expt	Boulder	na	YES
a6	A	6	nd	y	925	-0.2	-1.25	expt	Boulder	na	NO
a6	A	6	d	y	925	-0.2	-0.55	expt	Boulder	na	YES
a7	A	7	nd	y	925	-0.25	-1.15	expt	Boulder	na	NO
a7	A	7	d	y	925	-0.45	-1	expt	Boulder	na	YES
a12	A	12	d	y	925	-0.2	-0.75	expt	Boulder	na	YES
a12	A	12	nd	y	925	-0.15	-0.65	expt	Boulder	na	YES
a13	A	13	nd	y	925	-0.15	-1.75	expt	Boulder	na	NO
a13	A	13	d	y	925	-0.2	-0.45	expt	Boulder	na	YES
a15	A	15	nd	y	925	-0.2	-1.3	expt	Boulder	na	NO
a15	A	15	d	y	925	-0.3	-0.6	expt	Boulder	na	YES
A1	A	1	nd	y	1109	-2.6	-1.8	drydown	Boulder	na	YES
A2	A	2	nd	y	1109	-2.5	-2.4	drydown	Boulder	na	YES
A2	A	2	d	y	1109	-0.3	-2.3	drydown	Boulder	na	NO
A4	A	4	nd	y	1109	-5.45	-5.85	drydown	Boulder	na	YES
A4	A	4	d	y	1109	-2.3	-4.45	drydown	Boulder	na	YES
A7	A	7	d	y	1109	-6.5	-5.35	drydown	Boulder	na	YES
A7	A	7	nd	y	1109	-2.5	-2.55	drydown	Boulder	na	NO
A10	A	10	d	y	1109	-1.3	-2.25	drydown	Boulder	na	NO
A10	A	10	nd	y	1109	-1.3	-2.05	drydown	Boulder	na	NO
A12	A	12	d	y	1109	-1.55	-2.1	drydown	Boulder	na	NO
A12	A	12	nd	y	1109	-0.6	-2.05	drydown	Boulder	na	NO
A13	A	13	nd	y	1109	-2.3	-2.4	drydown	Boulder	na	NO
A15	A	15	nd	y	1109	-1.8	-2.3	drydown	Boulder	na	NO
A16	A	16	nd	y	1109	-2.4	-3.05	drydown	Boulder	na	NO
BG1	BG	1	d	y	1007	-0.4	-4	expt	NorthDakota	na	YES
BG1	BG	1	nd	y	1007	-0.2	-1.4	expt	NorthDakota	na	NO
BG2	BG	2	d	y	1007	-0.25	-1.8	expt	NorthDakota	na	NO
BG2	BG	2	nd	y	1007	-0.2	-1.7	expt	NorthDakota	na	NO
BG3	BG	3	d	y	1007	-0.35	-2.4	expt	NorthDakota	na	NO
BG3	BG	3	nd	y	1007	-0.3	-1.7	expt	NorthDakota	na	NO
BG5	BG	5	d	y	1007	-0.55	-2.6	expt	NorthDakota	na	NO
BG5	BG	5	nd	y	1007	-0.25	-1.7	expt	NorthDakota	na	NO
BG6	BG	6	d	y	1007	-0.7	-2.45	expt	NorthDakota	na	NO
BG6	BG	6	nd	y	1007	-0.2	-2.2	expt	NorthDakota	na	NO
BG8	BG	8	d	y	1007	-1.1	-2.7	expt	NorthDakota	na	NO
BG8	BG	8	nd	y	1007	-0.5	-1.9	expt	NorthDakota	na	NO
BG10	BG	10	d	y	1007	-0.5	-2.5	expt	NorthDakota	na	NO
BG10	BG	10	nd	y	1007	-0.2	-1.55	expt	NorthDakota	na	NO
BG1	BG	1	d	y	1115	-0.3	-2.5	drydown	NorthDakota	na	NO
BG1	BG	1	nd	y	1115	-0.25	-1.45	drydown	NorthDakota	na	NO
BG3	BG	3	d	y	1115	-0.25	-1.9	drydown	NorthDakota	na	NO
BG3	BG	3	nd	y	1115	-0.35	-1.35	drydown	NorthDakota	na	NO
BG5	BG	5	d	y	1115	-0.65	-1.8	drydown	NorthDakota	na	NO
BG5	BG	5	nd	y	1115	-0.45	-1.8	drydown	NorthDakota	na	NO
BG6	BG	6	nd	y	1115	-0.25	-1.6	drydown	NorthDakota	na	NO
BG6	BG	6	d	y	1115	-0.2	-1.35	drydown	NorthDakota	na	NO
BG10	BG	10	nd	y	1115	-0.2	-2.05	drydown	NorthDakota	na	NO
BG10	BG	10	d	y	1115	-0.35	-1.8	drydown	NorthDakota	na	NO
BG12	BG	12	nd	y	1115	-0.25	-2.25	drydown	NorthDakota	na	NO
BG12	BG	12	d	y	1115	-0.3	-2.2	drydown	NorthDakota	na	NO
BG15	BG	15	nd	y	1115	-0.25	-2.7	drydown	NorthDakota	na	NO
BG15	BG	15	d	y	1115	-0.25	-2.05	drydown	NorthDakota	na	NO
BG1	BG	1	nd	y	1130	-5.1	-5.2	drydown	NorthDakota	na	NO
BG1	BG	1	d	y	1130	-3	-3	drydown	NorthDakota	na	NO
