"","pop","LD1","LD2","LD3","LD4","LD5","LD6","abbv","col","orig","annual_AI_CGIAR","legend.order"
"1","Buffalo Gap",-2.0627273090522,1.17607641265128,-0.555406983973137,-2.08831608153505,-0.406945873611391,-0.453434135787821,"BG","#CBB0CE","#569EA4",0.3744,"O"
"2","Buffalo Gap",-2.33709929055191,1.04443287197112,-0.796535428039764,-7.49959737267324,-0.0818394857528317,0.851476257611564,"BG","#CBB0CE","#569EA4",0.3744,"O"
"3","Buffalo Gap",-3.11950876674069,0.277366270274187,-0.0195078747250342,-1.24889059737741,0.125114516851678,0.434298434638034,"BG","#CBB0CE","#569EA4",0.3744,"O"
"4","Buffalo Gap",-2.45247944689523,0.525949952828274,-0.904868180749861,-3.86803888350384,-0.911338998537519,-0.779563479934351,"BG","#CBB0CE","#569EA4",0.3744,"O"
"5","Buffalo Gap",-3.41192471861744,2.13359746760417,-1.06138743414483,-6.51461797051872,-0.474039020873984,-0.0544346417258114,"BG","#CBB0CE","#569EA4",0.3744,"O"
"6","Buffalo Gap",-3.25588788977743,0.756266700134291,-1.38082300728218,-4.91917992173742,0.781714645761732,0.133930495760721,"BG","#CBB0CE","#569EA4",0.3744,"O"
"7","Buffalo Gap",-3.26174205297428,0.468873543991137,-0.370341612183956,-3.0784032370494,-1.23139381061173,0.290718716635509,"BG","#CBB0CE","#569EA4",0.3744,"O"
"8","Buffalo Gap",-3.5924906212551,0.987023585319354,-2.22389756663461,-4.76413076216607,1.59596720264836,1.02464379607412,"BG","#CBB0CE","#569EA4",0.3744,"O"
"9","Buffalo Gap",-2.79091550224367,-0.369482077604452,-0.289927653344053,-3.78219002251665,0.874043333929314,-0.146988651646729,"BG","#CBB0CE","#569EA4",0.3744,"O"
"10","Buffalo Gap",-3.96272201967969,0.797290934072346,-2.24596390043854,-5.21793418895595,0.483152714453558,0.266839458406239,"BG","#CBB0CE","#569EA4",0.3744,"O"
"11","Buffalo Gap",-1.0668040125847,1.42277939432799,0.365799958662566,-3.10019737648388,-0.532463271919291,0.0156395014164342,"BG","#CBB0CE","#569EA4",0.3744,"O"
"12","Buffalo Gap",-1.16618364463401,0.550913620170729,0.240955983259491,-0.690375120183471,-0.12747438102931,0.0736700875091138,"BG","#CBB0CE","#569EA4",0.3744,"O"
"13","Buffalo Gap",-1.44700674318925,0.427009517380898,0.293476485758614,-2.65313255377308,-0.125846897896978,0.566140177900894,"BG","#CBB0CE","#569EA4",0.3744,"O"
"14","Buffalo Gap",-1.92937361314596,0.627695003464961,-2.03751915426745,-6.00112338976589,-0.756675402844972,0.0628652741148742,"BG","#CBB0CE","#569EA4",0.3744,"O"
"15","Buffalo Gap",-1.52053973496039,1.19222293687913,0.0787527172867889,-3.6998640563433,-0.0649596984837456,1.27935037084399,"BG","#CBB0CE","#569EA4",0.3744,"O"
"16","Buffalo Gap",-0.312738339102589,1.16893997105788,-0.493147034953723,-2.99057986426744,-1.06275360645019,0.0261640593417995,"BG","#CBB0CE","#569EA4",0.3744,"O"
"17","Cedar Point",-3.94812132945408,-0.0363393028998413,4.62725786726935,0.852289362977352,0.837464296954223,-3.27531250177802,"CP","#A889C1","#AADB84",0.3905,"P"
