"","Pop","N","MLG","eMLG","SE","H","G","lambda","E.5","Hexp","Ia","rbarD","File"
"1","ED10",6,1,1,0,0,1,0,NA,0.00765767089393102,19.735471049522,0.0332259626988816,"gen.clones"
"2","ED01",6,1,1,0,0,1,0,NA,0.00726490561721567,17.5043260636396,0.0373183831284319,"gen.clones"
"3","ED02",4,1,1,0,0,1,0,NA,0.00719160228137675,5.29195402298847,0.0150132484128719,"gen.clones"
"4","ED04",6,1,1,0,0,1,0,NA,0.00935706023290871,17.9525689672854,0.029163160578321,"gen.clones"
"5","ED08",5,2,2,0,0.500402423538188,1.47058823529412,0.32,0.724667671903595,0.00806301938336096,19.3758077022486,0.0369143907478791,"gen.clones"
"6","ED09",5,1,1,0,0,1,0,NA,0.00860251771681594,13.6195276497696,0.0276777434407824,"gen.clones"
"7","HQ01",5,1,1,0,0,1,0,NA,0.00646407457224186,14.9801032935399,0.0334899396847695,"gen.clones"
"8","HQ02",3,1,1,0,0,1,0,NA,0.00751769943799723,1.43922651933698,0.00446819094012097,"gen.clones"
"9","HQ04",3,1,1,0,0,1,0,NA,0.00734617911101379,12.1936274509804,0.0352916974065035,"gen.clones"
"10","HQ06",4,1,1,0,0,1,0,NA,0.00736546863106968,16.2258992805755,0.0398256672896492,"gen.clones"
"11","HQ07",3,1,1,0,0,1,0,NA,0.00759798554850011,12.5724815724815,0.0372866782284272,"gen.clones"
"12","HQ09",9,1,1,0,0,1,0,NA,0.00586235659765071,31.3377812870114,0.0585601952859274,"gen.clones"
"13","Total",59,13,7.21634418237864,1.03393967773352,2.47339992360193,11.0507936507936,0.909508761850043,0.925256499106211,0.0148354163649205,28.1572047011426,0.023671665683971,"gen.clones"
