"","Pop","N","MLG","eMLG","SE","H","G","lambda","E.5","Hexp","Ia","rbarD","File"
"1","SGS",28,25,12.0761904761905,0.836036432280026,3.13416245858665,19.6,0.948979591836735,0.846632520380001,0.0165976816737531,35.1631086072647,0.00433490827735689,"bg.gen"
"2","Andrus",17,14,11.1264705882353,0.768861526839702,2.55779386010773,11.56,0.913494809688581,0.886850137665543,0.0146953428789945,64.7108907352298,0.00826211580924316,"bg.gen"
"3","Buffalo Gap",16,6,5.43571428571429,0.629179900297821,1.5607002228432,4.12903225806452,0.7578125,0.83171282185905,0.0131856117328183,39.1413332932514,0.00583774519284646,"bg.gen"
"4","Beech Trail",17,12,9.97941176470588,0.836657810956607,2.39470040585833,9.96551724137931,0.899653979238754,0.899708572689195,0.0130224862295658,21.8623623748968,0.00296474315355275,"bg.gen"
"5","Cibola",17,10,8.11176470588235,0.894490744801666,2.00695489221077,5.45283018867924,0.816608996539792,0.691366129079736,0.024928576958081,101.575161891287,0.0135940251964366,"bg.gen"
"6","Comanche",17,7,6.01428571428571,0.768473955894639,1.62422258823347,3.95890410958904,0.747404844290657,0.726205434993629,0.0152194243637663,33.4410656355754,0.0049726329238018,"bg.gen"
"7","Cedar Point",16,8,7.36071428571428,0.642450268066545,1.96009513512456,6.4,0.84375,0.885245539900561,0.0132586460234916,54.4768753234079,0.00804530702833888,"bg.gen"
"8","Davidson Mesa",17,16,12.4264705882353,0.494563874141187,2.75166661693152,15.2105263157895,0.934256055363322,0.96876363728338,0.0160057740968256,23.628048251485,0.00302015752661777,"bg.gen"
"9","Heil Valley",15,13,11.5142857142857,0.570952182374168,2.52321095295289,11.8421052631579,0.915555555555556,0.945375642815022,0.0136952503978984,28.0870288719269,0.00368861984693687,"bg.gen"
"10","Kelsall",13,11,11,0,2.31142344469197,8.89473684210526,0.887573964497041,0.868624938206776,0.0162872352768385,324.197845775198,0.0404477142664898,"bg.gen"
"11","Konza",16,8,7.175,0.69802015934867,1.84074872856928,4.92307692307692,0.796875,0.740028040340972,0.0148316473448274,49.0875603002701,0.00705713152291783,"bg.gen"
"12","Rock Creek",15,15,13,6.49526557853918e-08,2.70805020110221,15,0.933333333333333,1,0.0169547387811687,34.8485205340881,0.00443980269693464,"bg.gen"
"13","Rabbit Mountain",15,12,10.7714285714286,0.636315927180575,2.43079132887823,10.7142857142857,0.906666666666667,0.936960217798151,0.0125042954136273,137.589847486366,0.0178313233555288,"bg.gen"
"14","Sevilleta",17,6,5.05294117647059,0.763486422635135,1.28487876782417,2.55752212389381,0.608996539792388,0.595786239578288,0.0229053630174316,55.2428584803065,0.00810197844857511,"bg.gen"
"15","Steele",15,11,9.91428571428571,0.663530036127633,2.30348849521927,9,0.888888888888889,0.887997132158493,0.0128631768894572,65.9773959546936,0.008669700184562,"bg.gen"
"16","Wonderland",16,9,7.9875,0.73546935936953,2.00970918189415,6.09523809523809,0.8359375,0.788596504830913,0.0115298599821903,120.556699524968,0.0158122304156876,"bg.gen"
"17","Walker Ranch",16,3,2.625,0.533268225192539,0.46341355882643,1.29292929292929,0.2265625,0.496919400597971,0.0121100414488971,802.8534569945,0.135032858516623,"bg.gen"
"18","Total",283,154,11.7874432060741,1.06866117893124,4.52545088739576,44.4691837867851,0.977512517324477,0.4759179948749,0.0172997614369207,130.943724712257,0.0150201877813094,"bg.gen"
