"","Var1","pop","value"
"1","A01","Andrus",0.0910124975297021
"2","A02","Andrus",0.645056321779687
"3","A03","Andrus",0.432223116065963
"4","A04","Andrus",0.195896932948732
"5","A05","Andrus",0.981700044482136
"6","A06","Andrus",0.999987742124895
"7","A07","Andrus",0.999424500188018
"8","A08","Andrus",0.999999775944683
"9","A09","Andrus",0.999768497689923
"10","A10","Andrus",0.999993355463843
"11","A11","Andrus",0.785399191583124
"12","A12","Andrus",0.98645049374523
"13","A13","Andrus",0.99976060415978
"14","A14","Andrus",0.999981109479654
"15","A15","Andrus",0.564959058652955
"16","A16","Andrus",0.293506064716111
"17","A17","Andrus",0.994164955141388
"18","BT01","Andrus",0.00012286951932999
"19","BT02","Andrus",0.000375111226616371
"20","BT03","Andrus",2.77422527711574e-08
"21","BT04","Andrus",4.08867830101923e-07
"22","BT05","Andrus",0.000286729496827082
"23","BT06","Andrus",0.0049416343006999
"24","BT07","Andrus",0.0353567519843334
"25","BT08","Andrus",2.0189309768392e-06
"26","BT09","Andrus",4.82186304246376e-07
"27","BT10","Andrus",0.0372854363975386
"28","BT11","Andrus",1.5897199422035e-08
"29","BT12","Andrus",0.000164215278097689
"30","BT13","Andrus",1.5908069999865e-11
"31","BT14","Andrus",0.0242124898446496
"32","BT15","Andrus",0.0424137032050737
"33","BT16","Andrus",0.00113984937421274
"34","BT17","Andrus",0.000689326931870671
"35","DM01","Andrus",2.68447505034081e-07
"36","DM02","Andrus",0.0353010451848364
"37","DM03","Andrus",5.94501309800304e-09
"38","DM04","Andrus",6.91041604786854e-06
"39","DM05","Andrus",6.16972340932730e-12
"40","DM06","Andrus",3.89818064114372e-08
"41","DM07","Andrus",5.4500624472482e-05
"42","DM08","Andrus",0.0045390663226484
"43","DM09","Andrus",7.05646819068931e-10
"44","DM10","Andrus",0.000559994744544299
"45","DM11","Andrus",1.95610525276546e-06
"46","DM12","Andrus",1.66249450081718e-13
"47","DM13","Andrus",1.85913860880188e-06
"48","DM14","Andrus",1.11414373953962e-07
"49","DM15","Andrus",4.49393558489285e-08
"50","DM16","Andrus",1.3122095699285e-11
"51","DM17","Andrus",9.90812055996789e-12
"52","HV01","Andrus",8.95520332925303e-09
"53","HV02","Andrus",5.10268428785834e-05
"54","HV03","Andrus",2.14106190213566e-14
"55","HV04","Andrus",3.89248460998533e-09
"56","HV06","Andrus",8.15391122315167e-16
"57","HV07","Andrus",1.7402165591412e-06
"58","HV08","Andrus",2.44920209482697e-09
"59","HV10","Andrus",9.68438089296278e-07
"60","HV11","Andrus",3.96617412447509e-06
"61","HV12","Andrus",2.65115974731656e-11
"62","HV13","Andrus",4.3686875594641e-05
"63","HV14","Andrus",3.80873753734364e-13
"64","HV15","Andrus",5.4636926475974e-05
"65","HV16","Andrus",1.06250756500174e-18
"66","HV17","Andrus",0.0993857930389967
"67","K01","Andrus",2.88038735237038e-11
"68","K02","Andrus",2.93029343225653e-07
"69","K03","Andrus",6.09107786221662e-09
"70","K04","Andrus",4.12448890908297e-09
"71","K05","Andrus",9.80233354629514e-11
"72","K06","Andrus",2.97327763504251e-05
"73","K07","Andrus",0.00223069712710914
"74","K08","Andrus",0.0091081482862026
"75","K10","Andrus",0.022132473643378
"76","K13","Andrus",0.00995099840190492
"77","K15","Andrus",4.49126367335557e-06
"78","K16","Andrus",0.0114741207559417
"79","K17","Andrus",6.00544609430474e-06
"80","RC01","Andrus",0.00502256498526357
"81","RC02","Andrus",6.87525594288617e-12
"82","RC03","Andrus",2.91947398151005e-13
"83","RC04","Andrus",6.37992446984937e-15
"84","RC05","Andrus",1.23068090963345e-08
"85","RC06","Andrus",0.0156340383698695
"86","RC08","Andrus",1.89126723157025e-09
"87","RC09","Andrus",2.13733768909906e-08
"88","RC10","Andrus",2.17096647763805e-15
"89","RC11","Andrus",0.0144962057247944
"90","RC12","Andrus",3.28575217917841e-08
"91","RC13","Andrus",2.51439382278469e-11
"92","RC14","Andrus",3.03091986236886e-15
"93","RC15","Andrus",6.25971393574849e-14
"94","RC16","Andrus",4.072443381892e-14
"95","RM01","Andrus",1.28874569645397e-05
"96","RM02","Andrus",0.00886813901465884
"97","RM03","Andrus",0.162912845384981
"98","RM05","Andrus",0.0131393358270064
"99","RM07","Andrus",0.00462513574113431
"100","RM08","Andrus",3.16327469507363e-06
"101","RM09","Andrus",0.00012824962724647
"102","RM10","Andrus",0.0812526017431406
"103","RM11","Andrus",1.35662107144294e-05
"104","RM12","Andrus",1.36497452964199e-06
"105","RM13","Andrus",0.000569067131180326
"106","RM14","Andrus",0.0185029170369069
"107","RM15","Andrus",0.000427541894578616
"108","RM16","Andrus",1.10055517700979e-06
"109","RM17","Andrus",1.57958039328762e-09
"110","ST01","Andrus",0.0332551345848655
"111","ST02","Andrus",0.0476856744267059
"112","ST03","Andrus",0.230533029452019
"113","ST05","Andrus",0.00159911424378151
"114","ST06","Andrus",0.0244093237862
"115","ST07","Andrus",3.41228357733613e-06
"116","ST08","Andrus",2.5423777187969e-09
"117","ST09","Andrus",0.0154419299918462
"118","ST10","Andrus",7.39629431406186e-08
"119","ST11","Andrus",0.133593792138596
"120","ST12","Andrus",0.00945095532575952
"121","ST13","Andrus",0.00936043651172794
"122","ST15","Andrus",5.81705883749299e-05
"123","ST16","Andrus",3.94305998976668e-08
"124","ST17","Andrus",1.8679034539282e-07
"125","W01","Andrus",0.0017344885093046
"126","W02","Andrus",7.31454181321367e-05
"127","W03","Andrus",7.11283088473723e-07
"128","W04","Andrus",0.090653346192681
"129","W05","Andrus",0.0043224736389827
"130","W06","Andrus",0.0458454277585365
"131","W07","Andrus",0.00542005685553418
"132","W08","Andrus",0.350327622893492
"133","W09","Andrus",0.0385006750237023
"134","W10","Andrus",0.330790157226982
"135","W11","Andrus",0.0319634632235169
"136","W12","Andrus",8.44103559686183e-06
"137","W13","Andrus",0.00012351017178463
"138","W14","Andrus",0.00013391100152701
"139","W15","Andrus",2.64907309486087e-05
"140","W16","Andrus",4.44157604925222e-06
"141","WR01","Andrus",1.27724581029567e-30
"142","WR02","Andrus",5.91794946472087e-23
"143","WR03","Andrus",5.5836382872715e-23
"144","WR04","Andrus",3.24053373185792e-20
"145","WR05","Andrus",1.68674411969989e-32
"146","WR06","Andrus",1.51708159689839e-17
"147","WR07","Andrus",3.6743448321368e-11
"148","WR08","Andrus",8.77897353479291e-29
"149","WR09","Andrus",2.11679757178069e-21
"150","WR10","Andrus",7.76401375150529e-30
"151","WR11","Andrus",4.564032952056e-24
"152","WR12","Andrus",6.32301289222204e-14
"153","WR13","Andrus",0.000321808832880013
"154","WR14","Andrus",7.32977064013018e-18
"155","WR15","Andrus",1.17226683883367e-31
"156","WR16","Andrus",3.79786997511162e-16
"157","A01","Beech Trail",0.351578276790807
"158","A02","Beech Trail",0.235751159737015
"159","A03","Beech Trail",0.0144920962675807
"160","A04","Beech Trail",0.00530415937347945
"161","A05","Beech Trail",6.63766491624997e-05
"162","A06","Beech Trail",3.40320762319896e-08
"163","A07","Beech Trail",2.45605320753319e-05
"164","A08","Beech Trail",8.81506893552209e-08
"165","A09","Beech Trail",5.79797432346851e-06
"166","A10","Beech Trail",6.51697354819497e-09
"167","A11","Beech Trail",0.0418412985164035
"168","A12","Beech Trail",1.75314332738887e-05
"169","A13","Beech Trail",3.96886607424515e-07
"170","A14","Beech Trail",1.62982990009157e-09
"171","A15","Beech Trail",3.38649439143776e-06
"172","A16","Beech Trail",0.000822029717400473
"173","A17","Beech Trail",0.000145366841692643
"174","BT01","Beech Trail",0.999776176151789
"175","BT02","Beech Trail",0.974342778615437
"176","BT03","Beech Trail",0.99999850720431
"177","BT04","Beech Trail",0.999982809445117
"178","BT05","Beech Trail",0.990886077380848
"179","BT06","Beech Trail",0.992680251727295
"180","BT07","Beech Trail",0.515287725094454
"181","BT08","Beech Trail",0.997608618521135
"182","BT09","Beech Trail",0.999775624081817
"183","BT10","Beech Trail",0.500824340863787
"184","BT11","Beech Trail",0.999998167146298
"185","BT12","Beech Trail",0.986330605663002
"186","BT13","Beech Trail",0.999999972308338
"187","BT14","Beech Trail",0.78588861716753
"188","BT15","Beech Trail",0.638897806949765
"189","BT16","Beech Trail",0.861222063861919
"190","BT17","Beech Trail",0.834018524896873
"191","DM01","Beech Trail",6.16042315370515e-05
"192","DM02","Beech Trail",0.137684450075384
"193","DM03","Beech Trail",4.09631114075817e-08
"194","DM04","Beech Trail",2.60955805525099e-08
"195","DM05","Beech Trail",5.84617276234512e-08
"196","DM06","Beech Trail",1.37296354421924e-05
"197","DM07","Beech Trail",3.65472334027338e-05
"198","DM08","Beech Trail",0.053492108007321
"199","DM09","Beech Trail",0.000286764796565289
"200","DM10","Beech Trail",0.000568710898563609
"201","DM11","Beech Trail",9.61625152489501e-06
"202","DM12","Beech Trail",1.92652569122985e-09
"203","DM13","Beech Trail",6.65287657169574e-05
"204","DM14","Beech Trail",3.14288886739348e-06
"205","DM15","Beech Trail",1.69496012609355e-07
"206","DM16","Beech Trail",4.43080005874613e-12
"207","DM17","Beech Trail",4.68803125720043e-12
"208","HV01","Beech Trail",3.06387417079006e-11
"209","HV02","Beech Trail",8.44635616633941e-05
"210","HV03","Beech Trail",2.25023184288879e-16
"211","HV04","Beech Trail",5.56683343915591e-11
