"","Andrus","Beech Trail","Davidson Mesa","Heil Valley","Kelsall","Rock Creek","Rabbit Mountain","Steele","Wonderland","Walker Ranch"
"A01",0.0910124975297021,0.351578276790807,4.11487237823576e-05,5.69773944266799e-06,0.0065973659985713,1.7850078555165e-06,0.0144914827502136,0.0404871267637485,0.495784618695877,1.57052051432407e-18
"A02",0.645056321779687,0.235751159737015,5.84339958961371e-06,1.5209768928159e-07,0.000284572108905421,0.000164775462439313,0.00342731591670317,0.0472096120655218,0.0681002474324502,6.46508998341411e-19
"A03",0.432223116065963,0.0144920962675807,1.12005390766854e-05,2.90769508487457e-06,0.000198517823912987,4.72949562607003e-11,0.00741821617296806,0.0218008460790005,0.523853099309118,1.09855991532899e-18
"A04",0.195896932948732,0.00530415937347945,0.00173559594144789,0.00288069552226265,0.0503959044841415,2.75827205500063e-07,0.0710032481616755,0.100947272318933,0.571835915422122,2.7306299976666e-18
"A05",0.981700044482136,6.63766491624997e-05,1.39996976680273e-08,2.98490648172672e-07,2.22831495466454e-05,2.46121845988244e-10,0.000350738818956083,0.0121744536737467,0.00568579048998456,1.41904364483783e-20
"A06",0.999987742124895,3.40320762319896e-08,2.61814072591326e-10,1.10483432341094e-11,2.79873698467628e-10,6.51719447385498e-15,2.99221840241387e-08,8.20079647472104e-06,3.99257162691889e-06,1.356530765439e-25
"A07",0.999424500188018,2.45605320753319e-05,7.10840058126357e-07,2.63728300535667e-10,1.17504786478455e-05,2.52866797895208e-08,1.814912919748e-06,0.00034129757206106,0.000195339925811321,2.54201326262704e-19
"A08",0.999999775944683,8.81506893552209e-08,2.85273967545677e-11,8.10045097778887e-15,2.09053691722862e-10,1.72842690652493e-14,3.11146713447188e-09,4.71121563600563e-08,8.54433979178728e-08,6.8186707047534e-28
"A09",0.999768497689923,5.79797432346851e-06,1.79407693328706e-09,3.19848779691436e-17,2.75470939317647e-09,6.95499466830324e-13,0.000215243567937166,2.81711135748192e-06,7.63910697742578e-06,1.5175215428113e-25
"A10",0.999993355463843,6.51697354819497e-09,6.86536956029335e-11,2.2408160362762e-09,3.67119300426265e-08,7.75301132190531e-14,5.98965694423961e-08,8.50871435955908e-09,6.53059242228934e-06,1.94852277327608e-25
"A11",0.785399191583124,0.0418412985164035,0.00390644589694848,5.32439306708051e-09,0.000391272692613091,9.13589203257345e-07,0.117122075085925,0.0137881730415316,0.0375506242698577,3.51690707840193e-18
"A12",0.98645049374523,1.75314332738887e-05,3.74765559947346e-07,1.14350752034928e-08,0.0107944567003721,1.45723150095243e-08,0.00203816594058693,1.39068657170073e-05,0.0006850445418529,1.63804831959604e-14
"A13",0.99976060415978,3.96886607424515e-07,1.01954063714128e-09,1.76362591026528e-14,3.50736859619799e-09,2.92111746403671e-18,1.73740090255785e-05,0.000207845616531214,1.37748011289618e-05,2.70098269378588e-21
"A14",0.999981109479654,1.62982990009157e-09,5.41961430108499e-13,1.88123051575464e-09,1.58207177842411e-09,5.38753551463449e-15,1.0412839870483e-08,1.87268374051644e-08,1.8856286988982e-05,2.38835376396693e-28
"A15",0.564959058652955,3.38649439143776e-06,5.0816550579565e-07,2.52458396532149e-05,0.00287850251771192,0.000612903092684241,0.411331513388098,9.80350648643787e-05,0.0200908467841362,4.51929155103156e-19
"A16",0.293506064716111,0.000822029717400473,3.1378960823343e-07,4.42632098976002e-07,5.5318338770283e-05,1.35711555921381e-07,0.0139148706684634,0.00129557989018529,0.690405244535807,1.91265193460644e-23
"A17",0.994164955141388,0.000145366841692643,2.41222766767217e-09,1.75498225057604e-07,3.02204808327919e-07,2.68362156021448e-12,3.35280183596583e-05,0.0040761247254195,0.001579545155196,1.4933991591392e-26
