"","Var1","pop","value"
"1","BG01","SGS",1.36836026189574e-14
"2","BG02","SGS",0.00804968156812905
"3","BG03","SGS",2.27161582978358e-06
"4","BG04","SGS",1.20292739032572e-11
"5","BG05","SGS",1.09916927405468e-09
"6","BG06","SGS",0.244745665736142
"7","BG07","SGS",7.85966585993828e-05
"8","BG08","SGS",1.57448690554744e-11
"9","BG09","SGS",2.04906100604261e-06
"10","BG10","SGS",0.000689733780469564
"11","BG11","SGS",5.27102198512063e-10
"12","BG12","SGS",1.88903121353969e-07
"13","BG13","SGS",4.54186358251106e-10
"14","BG14","SGS",7.02163492763936e-05
"15","BG15","SGS",0.113444896955922
"16","BG17","SGS",0.000254933988011286
"17","CI01","SGS",4.91477107519961e-27
"18","CI02","SGS",3.16835427445889e-27
"19","CI03","SGS",3.37409983574126e-28
"20","CI04","SGS",3.22220732858164e-29
"21","CI05","SGS",5.91393233832989e-30
"22","CI06","SGS",2.41928343982651e-25
"23","CI07","SGS",5.53046897299209e-26
"24","CI08","SGS",2.71034340455384e-25
"25","CI09","SGS",5.14056883661436e-27
"26","CI10","SGS",1.52124932283004e-27
"27","CI11","SGS",4.9856526177999e-26
"28","CI12","SGS",2.27301017688774e-10
"29","CI13","SGS",1.3209661983159e-26
"30","CI14","SGS",0.000385207177602761
"31","CI15","SGS",0.000283724428540499
"32","CI16","SGS",8.56259358349662e-30
"33","CI17","SGS",7.46094880384443e-25
"34","CO01","SGS",1.10962697341543e-08
"35","CO02","SGS",8.40235711527330e-09
"36","CO03","SGS",0.129244996903374
"37","CO04","SGS",0.00013673145556471
"38","CO05","SGS",1.2715610930595e-06
"39","CO06","SGS",2.05104086244756e-08
"40","CO07","SGS",3.68735320104034e-11
"41","CO08","SGS",3.67002853435094e-11
"42","CO09","SGS",3.60508732799938e-07
"43","CO10","SGS",1.71337965824104e-09
"44","CO11","SGS",0.286747594020685
"45","CO12","SGS",5.25191175461647e-05
"46","CO13","SGS",0.0465889005179267
"47","CO14","SGS",6.28617639382385e-09
"48","CO15","SGS",2.19090179832491e-05
"49","CO16","SGS",0.000699760918678226
"50","CO17","SGS",0.0383395180156369
"51","CP01","SGS",1.16729543678358e-06
"52","CP02","SGS",0.178185079365985
"53","CP03","SGS",0.0976758970962728
"54","CP04","SGS",0.0785785964991972
"55","CP05","SGS",0.19741101679834
"56","CP06","SGS",5.54531264547478e-09
"57","CP07","SGS",0.00408075750785129
"58","CP08","SGS",0.113819936391904
"59","CP09","SGS",0.00167054631328468
"60","CP10","SGS",0.0411063201485977
"61","CP11","SGS",0.00291768626600802
"62","CP12","SGS",0.00912416223870698
"63","CP13","SGS",0.00211032605834008
"64","CP14","SGS",0.0142525866394488
"65","CP16","SGS",0.000191601349491588
"66","CP17","SGS",3.72869203221127e-06
"67","KNZ01","SGS",0.233625968859253
"68","KNZ02","SGS",0.00279145963185132
"69","KNZ04","SGS",0.0496016936897069
"70","KNZ05","SGS",1.21218566723825e-08
"71","KNZ06","SGS",0.0386883348548963
"72","KNZ07","SGS",1.82185134133881e-08
"73","KNZ08","SGS",6.26757203917549e-14
"74","KNZ09","SGS",0.00121038376718239
"75","KNZ10","SGS",0.0051412262030029
