"","SGS","Buffalo Gap","Cibola","Comanche","Cedar Point","Konza","Sevilleta"
"BG01",1.36836026189574e-14,0.999999999999158,1.18439706957647e-29,1.53263751918589e-16,8.26851711092857e-13,9.18152531138784e-16,1.30330390854225e-57
"BG02",0.00804968156812905,0.965450662726148,7.03802968402186e-20,7.70466032034831e-05,0.0264160951257806,6.51397673840889e-06,1.9176967704453e-46
"BG03",2.27161582978358e-06,0.999971439205193,2.31551167908917e-21,3.83813260062319e-09,2.62848797344531e-05,4.61110013294588e-10,2.09787743910864e-52
"BG04",1.20292739032572e-11,0.999999999930071,1.56397827092401e-33,5.9840664817459e-14,5.78360126422072e-11,3.54560644195686e-15,2.75388892723825e-62
"BG05",1.09916927405468e-09,0.99999997575324,1.50914414641593e-25,1.03400396992076e-09,2.20620769505219e-08,5.15101165289247e-11,1.67865394766067e-59
"BG06",0.244745665736142,0.472069344974389,2.16863960824018e-17,0.000354485914127331,0.270501798217286,0.0123287051580567,2.10625073885096e-52
"BG07",7.85966585993828e-05,0.999423691368935,1.81351064289965e-18,3.43180960565419e-07,0.000497334040834415,3.4750670268204e-08,9.20478364193192e-37
"BG08",1.57448690554744e-11,0.999999999878936,1.07457590072738e-24,1.62176162816968e-12,1.03695591798934e-10,1.23248311394651e-15,3.50183670140245e-53
"BG09",2.04906100604261e-06,0.999989208566188,5.07610047527939e-22,6.51457457523893e-09,8.43712922211715e-06,2.987290093398e-07,1.60627381837366e-45
"BG10",0.000689733780469564,0.999097631000837,3.24663609510169e-21,1.43595957563379e-08,0.000212498504788001,1.22354309093218e-07,4.17963328248657e-56
"BG11",5.27102198512063e-10,0.999999929931292,9.55294051930478e-27,6.85106523449226e-08,9.93247961942396e-10,3.7705219685441e-11,1.01153269768967e-61
"BG12",1.88903121353969e-07,0.999928723128714,1.05696835660914e-18,1.09585702455418e-08,7.01696788633432e-05,9.0733073105125e-07,1.06580736276993e-54
"BG13",4.54186358251106e-10,0.999999998150101,1.96303054324376e-27,7.58580354842801e-10,6.36736565289831e-10,3.95970815554926e-13,6.74273236240798e-65
