"","Var1","pop","value"
"1","A01","SGS",0.125166545340734
"2","A02","SGS",0.000643834046113119
"3","A03","SGS",0.00206964008776817
"4","A04","SGS",5.69797566400146e-05
"5","A05","SGS",4.37129173602276e-08
"6","A06","SGS",1.81898165082267e-08
"7","A07","SGS",4.68723690608596e-09
"8","A08","SGS",3.01194882519264e-12
"9","A09","SGS",3.07687702904241e-05
"10","A10","SGS",3.42512234221689e-11
"11","A11","SGS",0.0427809186897139
"12","A12","SGS",0.01329972505559
"13","A13","SGS",4.14490973524125e-08
"14","A14","SGS",4.31755611504612e-12
"15","A15","SGS",5.97727591928931e-05
"16","A16","SGS",2.89410178769698e-05
"17","A17","SGS",5.18916378677879e-09
"18","BG01","SGS",2.13094953480931e-20
"19","BG02","SGS",0.113342349642168
"20","BG03","SGS",4.22256953518468e-10
"21","BG04","SGS",3.54127425498996e-17
"22","BG05","SGS",4.23918382110513e-14
"23","BG06","SGS",0.0159087310997541
"24","BG07","SGS",9.15732200631296e-05
"25","BG08","SGS",4.28019422372219e-13
"26","BG09","SGS",1.45255892961345e-11
"27","BG10","SGS",3.23311989960151e-07
"28","BG11","SGS",3.39101450475307e-15
"29","BG12","SGS",5.27560266332296e-11
"30","BG13","SGS",1.66672344179108e-12
"31","BG14","SGS",8.05383556835061e-07
"32","BG15","SGS",0.0316402064890024
"33","BG17","SGS",2.89845661150548e-06
"34","BT01","SGS",5.9493238187477e-06
"35","BT02","SGS",0.00438965333833378
"36","BT03","SGS",7.75474420306697e-12
"37","BT04","SGS",5.94930550076264e-11
"38","BT05","SGS",3.62591524541252e-06
"39","BT06","SGS",7.07298271789734e-06
"40","BT07","SGS",0.00366357669883566
"41","BT08","SGS",2.86882223951601e-09
"42","BT09","SGS",1.05669931433639e-05
"43","BT10","SGS",0.0281321221386482
"44","BT11","SGS",1.93966617874543e-07
"45","BT12","SGS",0.980238015091599
"46","BT13","SGS",7.89253353931925e-11
"47","BT14","SGS",0.0439094073262648
"48","BT15","SGS",0.101798829969652
"49","BT16","SGS",0.000131884737456324
"50","BT17","SGS",8.30382546243864e-06
"51","CI01","SGS",1.20379004414741e-41
"52","CI02","SGS",2.69688631845784e-44
"53","CI03","SGS",1.8765741945176e-43
"54","CI04","SGS",5.70538818394888e-44
"55","CI05","SGS",2.77224989444351e-48
"56","CI06","SGS",6.07484260606496e-39
"57","CI07","SGS",4.13380801072336e-42
"58","CI08","SGS",9.74551895425918e-42
"59","CI09","SGS",1.15924824576227e-45
"60","CI10","SGS",2.51208911269225e-45
"61","CI11","SGS",9.8830268420635e-44
"62","CI12","SGS",4.40938801069273e-15
"63","CI13","SGS",7.34175973671649e-43
"64","CI14","SGS",3.96279009492619e-05
"65","CI15","SGS",4.38790798270188e-07
"66","CI16","SGS",8.19465489213176e-45
"67","CI17","SGS",3.36844696470155e-39
"68","CO01","SGS",3.76373418154281e-12
"69","CO02","SGS",7.57814860345155e-14
"70","CO03","SGS",0.0830943475659375
"71","CO04","SGS",7.03000449570151e-05
"72","CO05","SGS",1.16925984192424e-07
"73","CO06","SGS",1.48759758893775e-10
"74","CO07","SGS",1.05407543067777e-15
"75","CO08","SGS",7.02728645531728e-20
"76","CO09","SGS",3.08889708132947e-13
"77","CO10","SGS",3.89122202217856e-16
"78","CO11","SGS",0.2255401788371
"79","CO12","SGS",1.84877976609819e-08
"80","CO13","SGS",0.00262957817239284
"81","CO14","SGS",4.9607815468019e-13
"82","CO15","SGS",3.09653228811009e-05
"83","CO16","SGS",1.03944459625699e-05
"84","CO17","SGS",0.58541078099107
"85","CP01","SGS",4.12575523480387e-09
"86","CP02","SGS",0.00046119031600976
"87","CP03","SGS",0.0177968456309019
"88","CP04","SGS",0.00455571167070663
"89","CP05","SGS",0.0173359650548129
"90","CP06","SGS",1.5612711459889e-13
"91","CP07","SGS",0.00012203236875902
"92","CP08","SGS",0.00295507258028211
"93","CP09","SGS",1.46578094605682e-05
"94","CP10","SGS",1.5419089109064e-05
"95","CP11","SGS",2.90692539945887e-06
"96","CP12","SGS",0.000372821151015718
"97","CP13","SGS",1.48798782635645e-05
"98","CP14","SGS",0.000122470525998695
"99","CP16","SGS",1.57282477014313e-08
"100","CP17","SGS",6.97533249518251e-11
"101","DM01","SGS",0.0116801598958863
"102","DM02","SGS",3.987979771187e-07
"103","DM03","SGS",5.84884663586684e-09
"104","DM04","SGS",7.80140207596255e-10
"105","DM05","SGS",1.34993851178888e-12
"106","DM06","SGS",2.71982504696616e-08
"107","DM07","SGS",4.59619056769404e-07
"108","DM08","SGS",0.00413265999721317
"109","DM09","SGS",2.12522588222236e-08
"110","DM10","SGS",2.22225715132855e-05
"111","DM11","SGS",9.37040383649269e-08
"112","DM12","SGS",1.02508406193312e-12
"113","DM13","SGS",0.000180668622106236
"114","DM14","SGS",3.25783770523039e-11
"115","DM15","SGS",4.32162366416292e-13
"116","DM16","SGS",9.72803761477516e-15
"117","DM17","SGS",1.16454227355882e-14
"118","HV01","SGS",1.11209974223152e-13
"119","HV02","SGS",5.25350120743375e-06
"120","HV03","SGS",2.93231872502911e-18
"121","HV04","SGS",3.8696892481248e-17
"122","HV06","SGS",2.80531932250878e-19
"123","HV07","SGS",6.88501081649432e-10
"124","HV08","SGS",1.62678459857088e-11
"125","HV10","SGS",3.0142067452284e-09
"126","HV11","SGS",6.51950496825376e-08
"127","HV12","SGS",4.38350286758848e-15
"128","HV13","SGS",3.11049357978084e-09
"129","HV14","SGS",1.88033232741659e-14
"130","HV15","SGS",1.66589899975883e-05
"131","HV16","SGS",1.34246551210097e-18
"132","HV17","SGS",0.00118136359950523
"133","K01","SGS",3.00379083875401e-18
"134","K02","SGS",2.42759327014191e-11
"135","K03","SGS",1.25914623029105e-10
"136","K04","SGS",4.75219436060696e-13
"137","K05","SGS",2.78737469887792e-17
"138","K06","SGS",5.93024840338274e-08
"139","K07","SGS",3.71459126232254e-05
"140","K08","SGS",0.000403633351443253
"141","K10","SGS",0.000698395029496846
"142","K13","SGS",0.00017814653683666
"143","K15","SGS",1.55281384477222e-09
"144","K16","SGS",0.00376963148692333
