"","SGS","Andrus","Buffalo Gap","Beech Trail","Cibola","Comanche","Cedar Point","Davidson Mesa","Heil Valley","Kelsall","Konza","Rock Creek","Rabbit Mountain","Sevilleta","Steele","Wonderland","Walker Ranch"
"A01",0.125166545340734,0.0843721077700386,5.07303301291878e-07,0.446203615410861,4.43215367813623e-32,5.01384696373644e-05,0.00587860951871663,2.92743734230381e-05,4.63145213788241e-07,7.97081708027341e-05,9.54272217492898e-08,3.7391371206691e-05,0.0104129200968313,7.66679673887133e-45,0.026697878364229,0.301070745237783,3.78423589660223e-20
"A02",0.000643834046113119,0.787097921111332,5.9329008765516e-08,0.0264023355647185,1.06273497921655e-25,1.83287242293402e-08,0.166783507863308,2.44877032577301e-08,1.22321487197539e-07,5.097638777788e-06,3.56624296155473e-07,0.000170965784341962,0.0109173982972934,1.25415643596917e-44,0.00230056218711393,0.005677796415781,4.78197075124167e-19
"A03",0.00206964008776817,0.0822471792136163,2.11994034969859e-09,0.00788148079765041,3.31309677132458e-30,4.13543545665309e-13,0.00030558481396558,1.47238517329792e-06,9.66326006190408e-07,2.75903332944247e-06,5.42786434833139e-09,1.6420886785331e-08,0.0176872799057837,1.58466772024554e-55,0.00674728626352745,0.883056327204075,1.17904555469808e-20
"A04",5.69797566400146e-05,0.324503688183563,0.000671988032785201,0.0019304973370083,1.53676869793218e-27,2.81859468245833e-10,0.151099893568067,0.00439990397477317,0.00440052500271584,0.00259771294150344,5.1374857253497e-07,9.48125206998021e-07,0.261159647984456,5.77475137151011e-44,0.154296829375888,0.0948808716869609,1.02736217920083e-16
"A05",4.37129173602276e-08,0.993434371551707,2.18102237811396e-08,1.00739195258212e-06,1.89437217944476e-35,4.43065863390475e-14,0.00102545356677729,1.3075636751838e-06,0.000251889045448176,1.49769060259937e-06,1.63141251898041e-10,2.0763744432312e-07,0.00163858811817677,7.81090655922057e-54,0.000868122803401306,0.00277748894434703,1.40882048512796e-13
"A06",1.81898165082267e-08,0.995987515537802,3.93239905704105e-15,7.60777798635099e-10,7.56671313686271e-38,5.22175759520647e-18,9.5473673737597e-08,7.50824147345421e-10,1.67620749369227e-08,1.13518930243865e-09,2.47004972156194e-09,5.28731993830401e-09,0.000242893900081895,1.91531477750827e-54,2.11523457443549e-07,0.00376923820892813,4.46695637319989e-20
"A07",4.68723690608596e-09,0.999968042530442,4.64281562317883e-11,1.14652990366901e-07,3.90028026936525e-36,1.98946975554653e-14,2.213408590624e-05,6.28057433748895e-10,1.45624536626539e-11,6.28001885087259e-09,3.57611367043771e-12,4.33044559831875e-08,1.68659439053005e-08,9.13845839745553e-63,5.20317484996948e-06,4.43372551108488e-06,9.77931560790337e-21
"A08",3.01194882519264e-12,0.999999948046145,6.91109585928134e-17,4.73294414585161e-11,3.52249904647877e-40,6.36407976441382e-16,3.66670876352267e-12,7.36540374280579e-11,1.18783218970515e-12,6.66726287143975e-12,4.99669345477897e-17,7.5614200919974e-12,1.51435937447928e-09,5.19528680118149e-63,1.88822950285907e-11,5.02775339270476e-08,7.7408929808145e-30
"A09",3.07687702904241e-05,0.999442241096093,1.19142313644647e-09,3.40655826443035e-05,2.23325269452204e-40,3.99603738487167e-08,5.94957056179241e-05,2.04086674830797e-07,6.68134689851796e-16,3.28426146501058e-11,1.4950465661574e-10,8.83544635600166e-11,2.56521830787612e-05,4.98844447825907e-52,2.36869760541537e-07,0.000407294283340513,1.57367061544937e-25
"A10",3.42512234221689e-11,0.999999999560176,7.8892697070215e-17,7.0325181519838e-11,2.98537366699643e-41,3.88392237777842e-17,1.83856586105067e-13,5.79759802319472e-15,1.28558797171688e-13,1.39779394511815e-13,9.59114013542832e-18,2.10534325246102e-15,1.23582295801647e-12,2.46236069411173e-60,7.54049165817765e-12,3.26011582120239e-10,3.26013599041203e-31
"A11",0.0427809186897139,0.546512955669258,2.16488649732573e-07,0.00524318619078311,3.07356097484215e-32,8.59039463615249e-10,0.00163262704435788,0.00169861414690105,6.47839953283014e-09,7.65225215636434e-07,3.04291558358578e-07,4.75949126924653e-07,0.200436952689539,2.41705188752047e-52,0.00113422963379412,0.200558746643664,7.37139561095973e-17
"A12",0.01329972505559,0.982279304562817,1.85562384910663e-09,5.9858544363659e-05,9.303104746445e-34,3.61949024236167e-10,1.84675182862161e-05,1.4145140407892e-06,5.39759539658562e-10,0.000206176909845022,5.16091672372102e-09,0.00102176776354494,0.00275479698031598,6.74682788329698e-44,5.81235857227488e-06,0.000352667874374049,5.60442930954832e-18
"A13",4.14490973524125e-08,0.999976909643407,6.47981583610495e-14,7.24673520297085e-09,8.97228844652541e-36,4.42306691235458e-14,1.42781754967641e-05,7.08402148058503e-09,6.04780036058997e-13,1.36364384266841e-09,6.82194412472687e-15,2.34216525077406e-14,3.15173150084812e-07,3.0795193879747e-65,2.59698032471654e-07,8.18016567083356e-06,1.20698857941097e-24
"A14",4.31755611504612e-12,0.999999979419569,1.52205345416532e-18,5.67938096579007e-13,4.21083883130159e-45,2.53694951278221e-21,1.57888033168834e-10,6.27262335625781e-15,1.24871622102691e-12,1.85835603509618e-13,8.6931412660502e-16,5.02188665340701e-13,4.31903443662015e-12,8.93673172700762e-52,1.74198345730271e-12,2.04096521962931e-08,1.90532337112478e-31
