,Pop,abbv,N,MLG,eMLG,SE,H,G,lambda,E.5,Hexp,Ia,rbarD,File,Evar,total_bio_var,above_bio_var,total_plasticity_var,above_plasticity_var
7,Cedar Point,*CP,16,8,7.360714286,0.642450268,1.960095135,6.4,0.84375,0.88524554,0.013258646,54.47687532,0.008045307,bg.gen,0.826771317,NA,NA,NA,NA
11,Konza,*KNZ,16,8,7.175,0.698020159,1.840748729,4.923076923,0.796875,0.74002804,0.014831647,49.0875603,0.007057132,bg.gen,0.760869374,NA,NA,NA,NA
2,Andrus,A,17,14,11.12647059,0.768861527,2.55779386,11.56,0.91349481,0.886850138,0.014695343,64.71089074,0.008262116,bg.gen,0.929351473,2.595046726,0.891048403,1.703775783,0.56407935
3,Buffalo Gap,BG,16,6,5.435714286,0.6291799,1.560700223,4.129032258,0.7578125,0.831712822,0.013185612,39.14133329,0.005837745,bg.gen,0.632223717,8.089257626,2.476389474,3.178549035,1.63113394
4,Beech Trail,BT,17,12,9.979411765,0.836657811,2.394700406,9.965517241,0.899653979,0.899708573,0.013022486,21.86236237,0.002964743,bg.gen,0.897028064,7.00055492,2.370075652,0.620534761,1.44709948
5,Cibola,CIB,17,10,8.111764706,0.894490745,2.006954892,5.452830189,0.816608997,0.691366129,0.024928577,101.5751619,0.013594025,bg.gen,0.760286554,14.61273877,5.489052066,1.445754381,2.92575011
6,Comanche,CO,17,7,6.014285714,0.768473956,1.624222588,3.95890411,0.747404844,0.726205435,0.015219424,33.44106564,0.004972633,bg.gen,0.636894818,22.52863229,6.357514027,2.048720687,3.23490663
8,Davidson Mesa,DM,17,16,12.42647059,0.494563874,2.751666617,15.21052632,0.934256055,0.968763637,0.016005774,23.62804825,0.003020158,bg.gen,0.981013147,5.56594781,1.942780844,1.31553309,0.84377503
9,Heil Valley,HV,15,13,11.51428571,0.570952182,2.523210953,11.84210526,0.915555556,0.945375643,0.01369525,28.08702887,0.00368862,bg.gen,0.95720972,6.458932589,1.935611753,2.058629841,1.43198754
10,Kelsall,K,13,11,11,0,2.311423445,8.894736842,0.887573964,0.868624938,0.016287235,324.1978458,0.040447714,bg.gen,0.930874931,3.359413421,1.140277698,1.465217501,1.23335205
12,Rock Creek,RC,15,15,13,6.50E-08,2.708050201,15,0.933333333,1,0.016954739,34.84852053,0.004439803,bg.gen,1,18.55760255,4.744108278,1.084981532,1.73982865
13,Rabbit Mountain,RM,15,12,10.77142857,0.636315927,2.430791329,10.71428571,0.906666667,0.936960218,0.012504295,137.5898475,0.017831323,bg.gen,0.938039169,13.82081897,5.1671104,0.89986094,2.8525946
14,Sevilleta,SEV,17,6,5.052941176,0.763486423,1.284878768,2.557522124,0.60899654,0.59578624,0.022905363,55.24285848,0.008101978,bg.gen,0.529900578,8.8268636,3.991869881,1.233236663,2.32055448
1,SGS,SGS,28,25,12.07619048,0.836036432,3.134162459,19.6,0.948979592,0.84663252,0.016597682,35.16310861,0.004334908,bg.gen,0.951473444,13.09215256,3.617847155,1.416502002,2.90852263
15,Steele,ST,15,11,9.914285714,0.663530036,2.303488495,9,0.888888889,0.887997132,0.012863177,65.97739595,0.0086697,bg.gen,0.899240191,10.93480603,4.298345671,1.324112761,2.95559582
16,Wonderland,W,16,9,7.9875,0.735469359,2.009709182,6.095238095,0.8359375,0.788596505,0.01152986,120.5566995,0.01581223,bg.gen,0.806937807,8.88106793,2.470268118,1.011468858,0.47435874
17,Walker Ranch,WR,16,3,2.625,0.533268225,0.463413559,1.292929293,0.2265625,0.496919401,0.012110041,802.853457,0.135032859,bg.gen,0.26044226,17.57066623,5.887461719,1.916835133,2.29306598
