"","annual_mean_temp","mean_diurnal_temp_range","temperature_seasonality","max_temp_warmest_month","min_temp_coldest_month","mean_temp_driest_quarter","annual_precip","precip_seasonality","annual_AI_CGIAR","PDHI_exep_drt_months_year","median_year_PDHI"
"p_biomass_aboveground",0.468,0.325,-0.515,0.076,0.698,0.617,-0.317,-0.041,-0.463,0.337,-0.584
"p_biomass_belowground",0.307,0.485,0.094,0.327,0.151,0.125,-0.294,0.275,-0.335,-0.134,-0.203
"p_biomass_rhizome",0.445,0.768,-0.051,0.403,0.396,0.26,0.011,-0.113,-0.234,0.249,0.055
"p_biomass_total",0.422,0.115,0.142,0.286,0.233,0.494,-0.821,0.776,-0.709,-0.22,-0.719
"p_root_shoot",-0.312,-0.298,-0.49,-0.496,0.131,0.069,0.626,-0.557,0.504,0.43,-0.067
"p_max_height",0.764,0.545,-0.006,0.535,0.609,0.659,-0.212,0.292,-0.583,0.116,-0.5
"p_avg_predawn_mpa_expt",0.571,0.273,-0.249,0.104,0.573,0.785,-0.665,0.227,-0.67,0.191,-0.577
"p_avg_midday_mpa_expt",0.569,0.341,0.647,0.629,-0.546,-0.27,-0.205,0.628,-0.455,-0.459,-0.05
"p_flwr_mass_lifetime",0.333,-0.114,0.657,0.453,-0.598,-0.302,-0.141,0.628,-0.302,-0.616,-0.239
"p_flwr_count",-0.491,-0.7,-0.293,-0.445,0.28,-0.562,0.732,-0.952,0.765,0.095,0.498
"p_avg_flwr_mass",-0.566,-0.715,-0.311,-0.572,0.057,-0.224,0.379,-0.676,0.609,-0.223,-0.213
"p_avg_flwr_len",0.095,0.215,-0.204,-0.035,0.323,-0.458,-0.696,-0.023,-0.998,0.062,-0.149
