"","annual_mean_temp","mean_diurnal_temp_range","temperature_seasonality","max_temp_warmest_month","min_temp_coldest_month","mean_temp_driest_quarter","annual_precip","precip_seasonality","annual_AI_CGIAR","PDHI_exep_drt_months_year","median_year_PDHI"
"p_biomass_aboveground",0.339,0.475,0.378,0.862,0.046,0.086,0.528,0.965,0.165,0.759,0.133
"p_biomass_belowground",0.42,0.365,0.947,0.501,0.765,0.782,0.528,0.584,0.331,0.9,0.906
"p_biomass_rhizome",0.339,0.026,0.947,0.501,0.362,0.722,0.971,0.855,0.481,0.9,0.906
"p_biomass_total",0.343,0.807,0.947,0.501,0.765,0.308,0.013,0.02,0.059,0.9,0.101
"p_root_shoot",0.42,0.613,0.378,0.482,0.765,0.839,0.203,0.287,0.195,0.759,0.906
"p_max_height",0.122,0.365,0.987,0.482,0.362,0.152,0.743,0.619,0.165,0.9,0.423
"p_avg_predawn_mpa_expt",0.339,0.637,0.947,0.862,0.362,0.086,0.203,0.743,0.165,0.9,0.414
"p_avg_midday_mpa_expt",0.339,0.613,0.378,0.482,0.362,0.722,0.751,0.287,0.331,0.759,0.906
"p_flwr_mass_lifetime",0.508,0.807,0.378,0.501,0.362,0.722,0.833,0.315,0.51,0.759,0.906
"p_flwr_count",0.42,0.365,0.947,0.501,0.765,0.59,0.293,0.02,0.165,0.936,0.757
"p_avg_flwr_mass",0.42,0.42,0.947,0.501,0.928,0.782,0.743,0.421,0.331,0.9,0.906
"p_avg_flwr_len",0.905,0.807,0.947,0.965,0.765,0.722,0.528,0.977,0.025,0.938,0.906
