"","annual_mean_temp","mean_diurnal_temp_range","temperature_seasonality","max_temp_warmest_month","min_temp_coldest_month","mean_temp_driest_quarter","annual_precip","precip_seasonality","annual_AI_CGIAR","PDHI_exep_drt_months_year","median_year_PDHI"
"biomass_aboveground",0.572,0.202,-0.186,0.262,0.534,0.731,-0.823,0.682,-0.771,0.027,-0.9
"biomass_belowground",0.224,0.258,0.558,0.509,-0.238,-0.373,-0.426,0.393,-0.337,-0.641,0.398
"biomass_rhizome",-0.183,-0.244,0.192,-0.039,-0.176,-0.261,0.362,-0.06,0.394,-0.067,0.705
"biomass_total",0.218,0.036,0.435,0.36,-0.14,-0.142,-0.163,0.596,-0.244,-0.343,-0.421
"root_shoot",0.647,0.604,-0.033,0.57,0.418,0.651,0.026,0.032,-0.436,0.254,-0.675
"max_height",0.681,0.668,-0.331,0.43,0.68,0.799,-0.564,-0.019,-0.765,0.432,-0.782
"avg_predawn_mpa_expt",-0.181,-0.097,0.118,-0.021,-0.156,-0.209,-0.038,0.071,0.188,-0.346,0.73
"avg_midday_mpa_expt",-0.66,-0.358,0.189,-0.272,-0.569,-0.856,-0.375,0.318,0.175,-0.287,0.469
"flwr_mass_lifetime",-0.698,-0.05,-0.646,-0.653,0.25,-0.456,0.309,-0.403,0.527,0.836,0.091
"flwr_count",-0.35,-0.019,-0.883,-0.691,0.671,0.822,0.343,-0.653,0.377,0.924,-0.805
"avg_flwr_mass",-0.301,-0.571,-0.882,-0.691,0.554,-0.823,0.926,-0.92,0.818,-0.166,-0.263
"avg_flwr_len",0.836,0.313,-0.398,0.602,0.826,0.229,-0.242,-0.84,-0.901,0.132,0.75
"hydroscape_area",0.942,0.672,0.837,0.965,-0.164,-0.935,0.513,-0.384,-0.699,-0.014,0.911
