abbv,pop,annual_mean_temp,mean_diurnal_temp_range,temperature_seasonality,max_temp_warmest_month,min_temp_coldest_month,mean_temp_driest_quarter,annual_precip,precip_seasonality,annual_AI_CGIAR,PDHI_exep_drt_months_year,median_year_PDHI,biomass_aboveground,biomass_belowground,biomass_rhizome,biomass_total,root_shoot,max_height,avg_predawn_mpa_expt,avg_midday_mpa_expt,flwr_mass_lifetime,flwr_count,avg_flwr_mass,avg_flwr_len,hydroscape_area,eMLG,Evar,Hexp,p_biomass_aboveground,p_biomass_belowground,p_biomass_rhizome,p_biomass_total,p_root_shoot,p_max_height,p_avg_predawn_mpa_expt,p_avg_midday_mpa_expt,p_flwr_mass_lifetime,p_flwr_count,p_avg_flwr_mass,p_avg_flwr_len
*CP,Cedar Point,9.84583353,14.32500023,1003.710079,30.60000038,-11.69999981,-2.383333286,446,62.41223158,0.3905,80,1.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.360714286,0.826771317,0.013258646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
*KNZ,Konza,12.0833334,11.94999999,1031.125462,31.60000038,-9.300000191,-1.099999984,891,51.50602468,0.7597,62,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.175,0.760869374,0.014831647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,Andrus,10.16666664,16.58333338,857.7145446,30.20000076,-9.800000191,0.050000032,454,43.94633359,0.3418,88,1.185,1.556428081,0.6174404,0.78831328,3.03001243,0.926300583,57.07467123,-2.392746073,-3.059215633,0.116151175,3.000172884,9.292408619,2.840978382,2.146,11.12647059,0.929351473,0.014695343,1.23969603,0.81061907,0.430719428,1.581905452,-0.321437695,16.72293219,-0.264564902,0.144006157,0.191429886,2.111256282,0.779746184,0.073903889
BG,Buffalo Gap,8.512499911,15.07499982,1081.377745,30.79999924,-13.80000019,-4.716666639,422,65.85304614,0.3744,49,1.455,3.432753113,1.666647144,1.715918168,7.10301041,0.952753365,51.19228465,-2.31167104,-3.026197234,0.376035221,6.28550933,8.505432352,2.142963594,4.05,5.435714286,0.632223717,0.013185612,-0.732911905,-0.1120844,-0.395081409,7.929930986,0.010762547,9.532343133,1.39780573,1.098010481,-0.021721111,3.689342955,-2.08869611,-0.141164399
BT,Beech Trail,9.795833382,16.34166671,842.4894411,29.39999962,-9.800000191,-0.033333381,460,44.42488957,0.3596,88,1.185,3.585769657,1.259345165,1.524276258,6.49383727,0.793403479,58.73230515,-2.765280598,-3.841640361,0.172712312,7.03490395,15.09241455,3.216073892,2.447,9.979411765,0.897028064,0.013022486,0.616391825,0.60335158,0.318392811,4.965781039,0.198887184,7.866678431,1.154962827,2.362717785,0.066824404,2.474611781,5.00724786,0.354703476
CIB,Cibola,11.44166668,16.06666661,779.5069307,29.5,-7.699999809,3.733333389,336,62.05154754,0.2417,90,-0.46,6.585337501,2.427383016,1.426321166,11.2200998,0.583375256,75.09804036,-4.52544061,-4.898528533,0.840187609,12.71771893,9.960047763,3.430421089,1.951,8.111764706,0.760286554,0.024928577,2.429553666,1.60486818,0.482918811,9.003637907,0.114891758,8.593223168,1.48046972,1.006631403,0.188309037,5.379897076,-0.129602518,0.181015082
CO,Comanche,11.97500002,17.23333335,934.034498,33.5,-9,0.733333349,323,58.69021385,0.2339,63,0.87,4.473406019,2.694642346,1.730801549,9.02229472,0.960157536,65.69828506,-2.18337734,-2.527997665,0.431642525,9.923770978,9.341396289,2.986901226,2.525,6.014285714,0.636894818,0.015219424,1.805439125,1.58654351,0.823935639,7.444013599,0.099569092,7.416585547,0.955166104,0.486312979,0.093844575,4.950724864,-0.225993722,-0.080672311
DM,Davidson Mesa,9.86666668,15.9833335,831.7241888,29.29999924,-9.300000191,0.233333429,480,43.48159962,0.376,88,1.185,2.724011303,1.068968359,1.402289278,5.3234828,1.066789285,56.12887869,-2.014524161,-2.358992693,0.16950528,5.212404395,14.58514788,3.237707954,2.065,12.42647059,0.981013147,0.016005774,0.124404993,0.57758289,0.235281897,5.037697913,0.261675371,5.333774185,1.636848126,1.354809,-0.037980181,-2.133590773,0.742191819,0.10260661
HV,Heil Valley,8.38333338,14.9500001,801.108137,26.60000038,-9.699999809,-0.783333302,444,41.83525869,0.3804,88,1.185,3.483651041,0.980501128,1.464937653,6.03877079,0.68360832,58.19668144,-3.470556091,-3.960906832,0.175169794,9.69674697,10.38923342,3.481788318,2.399,11.51428571,0.95720972,0.01369525,0.707430236,-0.2258008,0.08401267,5.369080381,-0.164527505,6.569010584,2.63370166,0.211771448,0.014391601,1.04185462,0.678668088,-0.024104841
K,Kelsall,9.620833317,16.20833325,827.0606767,29,-9.5,0.083333254,482,43.17944083,0.3806,88,1.185,3.03813296,1.142489621,1.812045257,6.23398621,1.020661808,59.13260433,-3.322757313,-4.013704008,0.225664351,11.41752043,11.72350474,3.130850641,2.86,11,0.930874931,0.016287235,0.919812701,0.86471434,0.789168004,4.847925121,0.206041253,4.066483059,-0.806233257,-0.843053836,0.015457345,3.177087146,2.019173002,-0.301459739
