"","2.5%","97.5%","mean","Rhat"
"a[1]",-16.3711711332154,15.0738069210128,-0.835870912697018,0.999976478421865
"a[2]",-2.02964267878367,4.41962128827965,1.19029474113778,1.00000995447012
"a[3]",-4.3236279601805,4.13583565200232,-0.115213765105972,0.999965702247105
"a[4]",-6.00701143558716,6.07696949537184,0.0669826600733412,0.999972513090634
"a[5]",-0.415397430707776,9.25506243208439,4.54879410489594,1.00000494350748
"a[6]",-4.18840541014303,6.28171368089121,1.07960901541709,1.00006860589789
"a[7]",-2.28148724691523,5.47520448535179,1.64164911370349,0.999997257720564
"a[8]",-5.55882925831214,2.28514659842141,-1.65688619140757,1.00002989684907
"a[9]",-5.71360955470221,5.12551455105429,-0.293567526390841,0.999972199277318
"a[10]",-8.41139662024245,10.4779515886319,1.18720045657805,1.00007420280261
"a[11]",-3.21486557462586,3.78775851109147,0.284400053239937,0.999964896014629
"a[12]",-6.01307428453267,7.37182013081659,0.679833754123209,0.999972318027897
"a[13]",-2.32116148812203,4.56405280902189,1.1647903199407,1.00000509016414
"a[14]",-5.77525591741192,3.135199057198,-1.36442195555256,1.0000810184895
"a[15]",-4.21566622895851,4.2856017563244,0.0312258136839355,0.999994606236142
"b[1]",-0.695013565885405,0.776631260218369,0.0476745346835426,0.999973384811382
"b[2]",-0.252654433065067,0.112303645413382,-0.0697718763124002,1.00000701540876
"b[3]",-0.189016031663724,0.236383798194085,0.024624869523686,0.999966470374356
"b[4]",-0.315755797353564,0.329828831320482,0.00597559157264424,0.999972721512614
"b[5]",-0.496391017395076,0.0267390039526822,-0.242595922307377,1.00000922237748
"b[6]",-0.319521450223485,0.219980089897019,-0.0511974336231271,1.00005969132911
"b[7]",-0.30258158562987,0.133056597429748,-0.0872897825957283,1.00000338970804
"b[8]",-0.114273046666473,0.254977339293746,0.0710278249566168,1.00002599304458
"b[9]",-0.264504255771249,0.298800578038865,0.0179954873795896,0.999972847103481
"b[10]",-0.504453587985716,0.41276784123991,-0.0541183179087304,1.00007210285184
"b[11]",-0.19972152218241,0.185095045043457,-0.00768628852111086,0.999964974091729
"b[12]",-0.401618048144298,0.312055407217039,-0.044925218705075,0.99996972156252
"b[13]",-0.226683703831598,0.137612079501905,-0.0465230534294844,1.00001014763104
"b[14]",-0.169818106967241,0.298444138599194,0.0665380720386941,1.0000924019522
"b[15]",-0.246558259792205,0.227414632056088,-0.0092266231482847,1.00000003879336
"sigma_pop[1]",0.701072840133219,3.27984375628057,1.4659831032594,1.00006216756063
"sigma_pop[2]",0.312088198071739,0.946001533386516,0.527408096494563,0.999975727009789
"sigma_pop[3]",0.377733728899153,0.938510934068282,0.58303712247989,0.99999624617066
"sigma_pop[4]",0.332098409855148,0.709631560722705,0.47938291989621,1.0000224363968
"sigma_pop[5]",0.215236052258349,0.656428018774857,0.364460202623375,1.00006864809044
"sigma_pop[6]",0.359076902306944,1.00863256536384,0.587978244316532,1.00005101000404
"sigma_pop[7]",0.396494587139992,1.12079805286149,0.648801199961109,1.00004896992768
"sigma_pop[8]",0.336609084249617,0.723321197980197,0.486133258156373,0.999968934675484
"sigma_pop[9]",0.369042368153677,0.925233553195463,0.571242315014851,0.999977585219585
"sigma_pop[10]",0.294397561471434,1.2601347385508,0.591238067910725,1.0000086388397
"sigma_pop[11]",0.299022925819814,0.65714887724144,0.437409338214369,1.00000056065752
"sigma_pop[12]",0.375300717593079,1.04703571188605,0.612076269941181,1.000014557508
"sigma_pop[13]",0.21291921402774,0.985529327530801,0.439862091079721,1.00005251186714
"sigma_pop[14]",0.212388405713673,1.00265830303595,0.441453928944187,1.00008546035781
"sigma_pop[15]",0.223690538691809,0.758293171920953,0.397344367908413,1.00003731226105
"mu[1]",-1.12575343067226,1.49185817982962,0.176047572025661,0.999999428361383
"mu[2]",-1.58308366760578,1.83804607218943,0.106893010670036,1.00000530335075
"mu[3]",-1.12417644629581,1.49549606578826,0.185953281004741,0.999995135784455
"mu[4]",-1.12260457594609,1.49480795902342,0.184470072835257,0.999995814343354
"mu[5]",-1.13980397278503,1.52065789378306,0.194614154487754,0.999991031337006
"mu[6]",-1.5116199670496,1.98484360755862,0.255399186209271,0.9999694021087
"mu[7]",-0.369377034449608,0.54215421782252,0.0838290695162086,1.00005665393409
"mu[8]",-0.37395664451757,0.55892096122851,0.0896433923096691,1.00005501983934
"mu[9]",-0.681606456455426,0.341935478140005,-0.172748699978487,1.0000282744094
"mu[10]",-0.539022774519094,0.300645053588627,-0.120806029617608,1.00004369037167
