,,Final_reads,Sample_name,short_name,geno_assignment,pop
  , ,9191036,Bgcultivar_na_1_1-1112E_S476_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,45662188,Bgcultivar_na_2_1-1112F_S477_L006_R1_001_T_Q_A.fastq,na,not,SGS
 ,,21948356,Bgcultivar_na_3_1-1112G_S478_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,36746936,Bgcultivar_na_4_1-1112H_S479_L006_R1_001_T_Q_A.fastq,na,not,SGS
  , ,12423004,Bgedge_1_1_1-113E_S412_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,12052832,Bgedge_1_1_2-113F_S413_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,13241444,Bgedge_1_1_3-113G_S414_L006_R1_001_T_Q_A.fastq,na,not,SGS
 ,,17186468,Bgedge_1_2_1-113H_S415_L006_R1_001_T_Q_A.fastq,na,not,SGS
  ,,25172732,Bgedge_1_3_1-114A_S416_L006_R1_001_T_Q_A.fastq,na,not,SGS
  ,,1557228,Bgedge_1_4_1-114B_S417_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,11077736,Bgedge_1_5_1-114C_S418_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,6590544,Bgedge_10_1_1-117B_S441_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,15979848,Bgedge_10_2_1-117C_S442_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,15706556,Bgedge_10_3_1-117D_S443_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,14879060,Bgedge_10_4_1-117E_S444_L006_R1_001_T_Q_A.fastq,na,not,SGS
  , ,9545288,Bgedge_10_5_1-117F_S445_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,7755220,Bgedge_10_6_1-117G_S446_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,11558452,Bgedge_2_1_1-114D_S419_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,14120200,Bgedge_2_2_1-114E_S420_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,12348716,Bgedge_2_3_1-114F_S421_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,18870768,Bgedge_2_4_1-114G_S422_L006_R1_001_T_Q_A.fastq,na,not,SGS
  , ,6353852,Bgedge_4_1_1-114H_S423_L006_R1_001_T_Q_A.fastq,na,not,SGS
 , ,10989416,Bgedge_4_2_1-115A_S424_L006_R1_001_T_Q_A.fastq,na,not,SGS
