abbv,pop,col,orig,annual_AI_CGIAR,legend.order
A,Andrus,#859D59,#A6CEE3,0.3418,E
BG,Buffalo Gap,#CBB0CE,#569EA4,0.3744,O
BT,Beech Trail,#6BAD9E,#4992C2,0.3596,I
CIB,Cibola,#F88A89,#52AF43,0.2417,B
CO,Comanche,#E19B78,#8A9D5B,0.2339,C
CP,Cedar Point,#A889C1,#AADB84,0.3905,P
DM,Davidson Mesa,#217b7e,#F88A89,0.376,J
HV,Heil Valley,#426081,#E73233,0.3804,L
K,Kelsall,#72ADD1,#F06C45,0.3806,M
KNZ,Konza,#795199,#FDB35A,0.7597,Q
RC,Rock Creek,#399F2F,#E19B78,0.35,F
RM,Rabbit Mountain,#A2D48E,#FE870D,0.3548,H
SEV,Sevilleta,#E73233,#B294C7,0.1933,A
SGS,SGS,#FDB35A,#70449D,0.3291,D
ST,Steele,#5EB54C,#C7B699,0.35,G
W,Wonderland,#3386AE,#B15928,0.3781,K
WR,Walker Ranch,#A6CEE3,#E6CB75,0.4254,N
