abbv,pop,col,orig,annual_AI_CGIAR,legend.order
NM,New Mexico,#E73233,#B294C7,0.1933,A
SEV,Sevilleta,#E73233,#B294C7,0.1933,B
SC,S. Colorado,#F88A89,#52AF43,0.2417,C
CIB,Cibola,#F88A89,#52AF43,0.2417,D
CO,Comanche,#E19B78,#8A9D5B,0.2339,E
CO,Colorado,#FDB35A,#70449D,0.3291,F
SGS,SGS,#FDB35A,#70449D,0.3291,G
BO,Boulder,#217b7e,#F88A89,0.376,H
NB,Nebraska,#72ADD1,#F06C45,0.3806,I
WR,Walker Ranch,#A6CEE3,#E6CB75,0.4254,J
BG,Buffalo Gap,#CBB0CE,#569EA4,0.3744,K
SD,S. Dakota,#CBB0CE,#F88A89,0.376,L
KS,Kansas,#795199,#AADB84,0.3905,M
CP,Cedar Point,#A889C1,#AADB84,0.3905,N
KNZ,Konza,#795199,#FDB35A,0.7597,O
