"","LD1","LD2","LD3","LD4","LD5","LD6"
"10002",9.72429178064218e-07,8.63868147471056e-08,6.2533092938759e-06,9.90667682939713e-07,2.72487639035876e-07,6.51011555584567e-07
"10002",9.72429178064216e-07,8.63868147471057e-08,6.25330929387589e-06,9.90667682939713e-07,2.72487639035876e-07,6.51011555584567e-07
"100027",7.83990771609527e-07,8.46520493948645e-07,2.38335692497125e-07,9.34437834835459e-06,2.03592796753725e-07,2.4945080539654e-07
"100027",7.83990771609524e-07,8.46520493948642e-07,2.38335692497124e-07,9.34437834835455e-06,2.03592796753724e-07,2.49450805396537e-07
"10006",0.000259565990177661,7.59409975624155e-05,8.99997618915004e-11,7.56997402999159e-06,7.65024543889447e-07,1.41340594416624e-06
"10006",0.000259565990177661,7.59409975624155e-05,8.99997618915157e-11,7.56997402999163e-06,7.6502454388945e-07,1.41340594416623e-06
"10007",4.72984278245761e-10,3.46911858984467e-08,2.93660023465103e-09,3.7214163313348e-09,7.97054465181221e-10,6.70446019453402e-12
"10007",4.72984278245774e-10,3.46911858984475e-08,2.93660023465108e-09,3.72141633133486e-09,7.97054465181238e-10,6.70446019453391e-12
"100104",1.04951498208042e-06,4.63497323185395e-06,6.2140678499647e-06,0.000247832539053742,6.76857255456504e-07,2.20747357721924e-07
"100104",1.04951498208042e-06,4.63497323185394e-06,6.21406784996473e-06,0.000247832539053742,6.76857255456495e-07,2.20747357721929e-07
"10012",1.58198822755124e-07,1.47434530804291e-06,1.40928542366648e-06,7.24015960122654e-07,7.42336130987304e-07,2.37493673080381e-06
"10012",1.58198822755125e-07,1.47434530804292e-06,1.40928542366648e-06,7.24015960122656e-07,7.42336130987306e-07,2.37493673080382e-06
"100188",3.2417033096115e-07,7.86692170607471e-06,8.75531885021695e-06,6.20962270075367e-08,9.16982939345702e-07,3.37873817938583e-06
"100188",1.02974472319019e-06,1.52272914185771e-05,4.54367433495286e-06,8.21597117260737e-08,6.03023357124613e-07,2.24878625719231e-06
"100188",1.98384547895341e-07,1.20431505403218e-06,6.84506663069954e-07,2.87109823668055e-07,3.27778264493292e-08,1.14608698258237e-07
"100192",9.15737282040185e-08,5.34421005172626e-06,0.000186965537264042,8.21451040839001e-06,0.000124741773362532,9.44490809493231e-05
"100192",1.5586242962679e-07,4.28071959326563e-07,2.91632864602908e-10,1.394219548246e-08,2.24296162609821e-09,6.44895033885688e-11
"100192",4.86374675176685e-07,2.74724880932086e-06,0.000187432841938328,7.55161197298076e-06,0.000123686110825876,9.42930560500016e-05
"1002",0,0,0,0,0,0
"1002",0,0,0,0,0,0
"100207",2.94419886661166e-07,2.90298437360135e-06,4.64695488075294e-05,1.92474881781223e-06,7.69409512210094e-05,1.28844641632238e-05
"100207",2.94419886661169e-07,2.90298437360134e-06,4.64695488075294e-05,1.92474881781222e-06,7.69409512210094e-05,1.28844641632238e-05
"100226",3.80944920980555e-05,6.02209314419975e-05,9.06723542593769e-06,0.00056668240673466,5.51941534933259e-05,1.06205354866734e-06
"100226",3.80944920980554e-05,6.02209314419976e-05,9.0672354259377e-06,0.000566682406734661,5.51941534933258e-05,1.06205354866734e-06
"100235",1.85872446928971e-07,2.58984646886491e-09,2.41327097953755e-08,3.11491195114212e-08,1.83641207305038e-06,1.00064255131877e-08
"100235",1.85872446928971e-07,2.5898464688649e-09,2.41327097953756e-08,3.11491195114212e-08,1.83641207305039e-06,1.00064255131876e-08
"10026",4.52425338629839e-07,1.61232198009078e-06,3.01319472191176e-09,9.14064903414391e-08,1.1023130241818e-06,4.23917093333441e-07
"10026",4.52425338629839e-07,1.61232198009078e-06,3.01319472191177e-09,9.14064903414392e-08,1.1023130241818e-06,4.23917093333442e-07
"100263",3.24301525408107e-05,1.85397231677324e-05,0.000273155814827118,6.21073589795184e-07,0.000272050297226702,1.26613043213901e-06
"100263",3.24301525408107e-05,1.85397231677324e-05,0.000273155814827118,6.21073589795181e-07,0.000272050297226702,1.26613043213901e-06
"10028",0,0,0,0,0,0
"10028",0,0,0,0,0,0
"10029",5.75815926713568e-05,3.27058113187625e-05,2.19537783201938e-05,4.05386485716945e-06,0.00020590183403438,0.000111196574842656
"10029",5.75815926713568e-05,3.27058113187625e-05,2.19537783201938e-05,4.05386485716945e-06,0.00020590183403438,0.000111196574842656
"100290",5.00447001169649e-10,1.40091618564647e-10,4.17096047422761e-10,3.38007200280035e-11,2.19835001712834e-10,2.5044561062335e-12
"100290",5.00447001169666e-10,1.40091618564652e-10,4.17096047422775e-10,3.38007200280047e-11,2.19835001712841e-10,2.50445610623361e-12
"100296",4.10061961386285e-06,2.70163798676098e-09,6.82724890790793e-07,1.8093258596948e-05,0.000100846841902828,8.25542175402019e-07
"100296",4.10061961386285e-06,2.70163798676102e-09,6.82724890790793e-07,1.8093258596948e-05,0.000100846841902828,8.25542175402004e-07
"10030",5.27689263472449e-07,9.47958390457662e-08,5.71018223404728e-07,5.2040386822145e-09,9.99710567902917e-09,8.95686354956166e-07
"10030",5.27689263472454e-07,9.4795839045767e-08,5.71018223404732e-07,5.20403868221455e-09,9.99710567902929e-09,8.95686354956173e-07
"100338",1.7592067977327e-05,4.52905708033556e-05,0.000118525925469997,9.47239731088465e-06,2.14190807564899e-06,0.000123891499857043
"100338",1.7592067977327e-05,4.52905708033556e-05,0.000118525925469997,9.47239731088464e-06,2.14190807564899e-06,0.000123891499857043
"100340",3.42770614291333e-06,1.5550986921187e-05,1.87624728273435e-06,9.9209322000096e-08,3.66007624766851e-08,2.04731668089326e-07
"100340",3.42770614291332e-06,1.55509869211871e-05,1.87624728273435e-06,9.92093220000942e-08,3.66007624766869e-08,2.04731668089325e-07
"10038",1.50671035746619e-05,3.08374681246827e-06,0.000411947215082188,3.42202466749928e-05,0.000264404190841084,0.000127105685782742
"10038",1.50671035746619e-05,3.08374681246826e-06,0.000411947215082188,3.42202466749928e-05,0.000264404190841084,0.000127105685782742
"100385",1.37507486376718e-05,0.000150600725367071,6.64898899313922e-06,1.49376627036046e-06,1.39293104774839e-08,3.22863458580238e-06
"100385",1.37507486376718e-05,0.000150600725367071,6.6489889931392e-06,1.49376627036047e-06,1.39293104774844e-08,3.2286345858024e-06
"10039",6.33792653567851e-07,1.99062543920061e-06,3.65708552779111e-07,4.53474413983574e-07,1.43681213324797e-06,3.58585189457718e-07
"10039",6.33792653567846e-07,1.99062543920059e-06,3.65708552779109e-07,4.53474413983572e-07,1.43681213324796e-06,3.58585189457715e-07
"10040",3.34002173496846e-07,2.29444792846577e-05,7.49363027636266e-07,6.78841560020553e-09,1.32539576378598e-05,1.94895663444651e-07
"10040",3.34002173496846e-07,2.29444792846577e-05,7.49363027636258e-07,6.78841560020542e-09,1.32539576378598e-05,1.94895663444647e-07
"100403",1.93756940022588e-05,7.72223710423881e-05,7.3003838175951e-06,9.07422572290616e-07,1.92217118530962e-07,7.62099760629554e-06
"100403",1.93756940022588e-05,7.7222371042388e-05,7.30038381759513e-06,9.07422572290614e-07,1.92217118530962e-07,7.62099760629555e-06
"100418",8.66535037609606e-06,5.74470315556204e-06,2.21624523940058e-05,0.000219623193027371,0.000396502794367348,0.000372062496064449
"100418",8.66535037609606e-06,5.74470315556203e-06,2.21624523940058e-05,0.000219623193027372,0.000396502794367348,0.000372062496064449
