"","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9"
"10002",3.92849444712371e-06,0.000106292633216509,0.00015654997732182,1.07784058367974e-06,8.39142286619822e-06,0.000153649425131768,1.87627899737393e-06,4.86812234924182e-05,4.77591342355995e-05
"10002",3.9284944471237e-06,0.000106292633216509,0.00015654997732182,1.07784058367975e-06,8.39142286619826e-06,0.000153649425131768,1.87627899737393e-06,4.86812234924181e-05,4.77591342355995e-05
"100027",1.97049001993631e-05,0.000365238530988155,1.41888989155931e-07,0.00010102977357294,9.75231130529794e-05,0.000234688184300259,0.000351164157927964,9.80764913788245e-06,3.9262688949721e-05
"100027",1.97049001993631e-05,0.000365238530988155,1.41888989155928e-07,0.00010102977357294,9.75231130529793e-05,0.000234688184300259,0.000351164157927964,9.80764913788247e-06,3.9262688949721e-05
"10006",3.76826768985728e-07,1.88382546802472e-06,2.9957106629289e-08,8.42242961339731e-09,1.13744514834316e-06,2.26199279655729e-07,5.0522898612066e-08,3.63346981386939e-07,8.21920465736107e-08
"10006",3.76826768985728e-07,1.88382546802473e-06,2.9957106629289e-08,8.4224296133974e-09,1.13744514834316e-06,2.2619927965573e-07,5.05228986120659e-08,3.6334698138694e-07,8.21920465736109e-08
"10007",3.22036825369729e-06,1.1931469159631e-05,7.01727614798616e-05,1.10951636059417e-05,2.57122846389944e-06,5.73453310165165e-07,9.3442866842406e-06,1.3017102785339e-09,2.11773519023564e-05
"10007",3.2203682536973e-06,1.19314691596311e-05,7.01727614798616e-05,1.10951636059416e-05,2.57122846389944e-06,5.73453310165158e-07,9.34428668424058e-06,1.3017102785341e-09,2.11773519023564e-05
"100104",2.41064038020938e-08,4.35072409716134e-09,5.8471325892828e-11,1.46656415361813e-12,3.3106417632653e-08,9.37361906248e-10,5.80391648129588e-09,7.41244395322951e-09,1.3886042822507e-09
"100104",2.4106403802095e-08,4.35072409716156e-09,5.84713258928315e-11,1.46656415361847e-12,3.31064176326547e-08,9.37361906248045e-10,5.80391648129616e-09,7.41244395322989e-09,1.38860428225077e-09
"10012",7.15609169813399e-05,0.000122023690538154,7.97806301019994e-06,5.43958430034347e-05,7.43668874685176e-05,5.13681048988645e-06,3.64133553009752e-05,3.20763025536471e-05,3.73992247720422e-06
"10012",7.15609169813399e-05,0.000122023690538155,7.97806301019995e-06,5.43958430034346e-05,7.43668874685176e-05,5.13681048988647e-06,3.64133553009751e-05,3.20763025536471e-05,3.73992247720425e-06
